gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G02450,6.22122161029736,3.64038271561468,0.58508023526847,6.22202305969924,4.90784879817206e-10,2.47684789038613e-08,yes,up,0.860614948968269,0.728979174516171,pedicel,Flower,tissue_specific
AT1G02730,850.548233382698,-1.05971707608562,0.263366538890086,-4.02373468000764,5.72824479114329e-05,0.000564017101535012,yes,down,0.753227621150122,0.606454184937292,inflorescence_apex,Flower,tissue_specific
AT1G05040,0.738912109377289,1.58485653565554,0.562031485972866,2.81987143996423,0.0048042892938967,0.0212647648084808,yes,up,0.920548097227278,0.80628350541563,mature_pollen,Flower,tissue_specific
AT1G08560,411.342341201295,-1.04209332517057,0.271085929496613,-3.84414391077273,0.000120974002769612,0.00104146344890497,yes,down,0.699877850775303,0.542058303765743,inflorescence_apex,Flower,tissue_specific
AT1G08860,2.96424738976354,1.12256841616264,0.324796265051728,3.45622329118794,0.000547801325750335,0.00363624441588051,yes,up,0.955670923958969,0.72544629157211,mature_pollen,Flower,tissue_specific
AT1G09180,19.2864620576616,2.24765924193989,0.332408515524524,6.76173785257336,1.36346245589101e-11,1.02380081099363e-09,yes,up,0.65647198098181,0.32207976057165,mature_pollen,Flower,tissue_specific
AT1G09930,3.08729295470582,1.35204422249821,0.356364420443309,3.7939932971319,0.000148243677186964,0.00123546471979772,yes,up,0.922650957870473,0.669461537479331,mature_pollen,Flower,tissue_specific
AT1G11920,3.50837939615063,-1.17910279818189,0.298839706478997,-3.94560285202516,7.95994545484647e-05,0.000737565478545596,yes,down,0.972497906863335,0.623655159581386,flower_stage_9,Flower,tissue_specific
AT1G13330,99.9985851985783,2.18864072896614,0.239386034826167,9.14272518259238,6.08979975245494e-20,2.71571851869931e-17,yes,up,0.67082540294598,0.54498322107315,inflorescence_apex,Flower,tissue_specific
AT1G20120,14.0155620515946,2.44439048378103,0.340593708016744,7.1768515572838,7.1335066441499e-13,7.52293364110861e-11,yes,up,0.935407372056012,0.929413997042097,flower_stage_10_11,Flower,tissue_specific
AT1G20310,4.88961109879285,2.7050028006779,0.448578547241307,6.03016532402914,1.63792034181185e-09,7.12292060702471e-08,yes,up,0.735800146015059,0.32711687970391,flower_stage_15,Flower,tissue_specific
AT1G23520,4.54273866975052,2.61456367601538,0.488746606338327,5.34952804195122,8.81838969485828e-08,2.33825561130583e-06,yes,up,0.852192239846851,0.719039155045933,flower_stage_12,Flower,tissue_specific
AT1G23790,79.7264532991282,-1.10127755941875,0.256488792087825,-4.29366737803367,1.75745709791179e-05,0.000206937831207309,yes,down,0.691822083493135,0.569118912600003,shoot_apex_transition,Flower,tissue_specific
AT1G26760,56.1656646604345,-1.02235417521134,0.238005865096606,-4.29549992306436,1.74300097703187e-05,0.000205630519305728,yes,down,0.678855066651378,0.396230291165167,shoot_apex_transition,Flower,tissue_specific
AT1G27720,28.6045476205394,1.54271058574787,0.191800757318705,8.04329767678878,8.7452541949837e-16,1.71595879712292e-13,yes,up,0.951658834797977,0.5510820076783,mature_pollen,Flower,tissue_specific
AT1G27940,70.5230025039491,1.63166231328532,0.269348085044657,6.05782035916386,1.37978359194822e-09,6.13078843473078e-08,yes,up,0.806172376004708,0.554689418264693,petal,Flower,tissue_specific
AT1G32350,0.626476101638703,2.03929641867012,0.804161607025992,2.53592860048615,0.0112149597270703,0.0419440861887547,yes,up,0.945173088765901,0.288670407600815,senescing_leaf,Flower,tissue_specific
AT1G36180,247.2988347284,1.04871148053377,0.18808245537153,5.57580704942516,2.46384902557976e-08,7.77745496144077e-07,yes,up,0.604645051305577,0.486075838811101,shoot_apex_transition,Flower,tissue_specific
AT1G43910,219.03794302273,1.74679032511244,0.228071253932214,7.65896751561516,1.87433795506206e-14,2.68841444583668e-12,yes,up,0.603045794284937,0.633855146579075,flower_stage_10_11,Flower,tissue_specific
