gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G05040,0.738912109377289,1.58485653565554,0.562031485972866,2.81987143996423,0.0048042892938967,0.0212647648084808,yes,up,0.920548097227278,0.80628350541563,mature_pollen,Flower,tissue_specific
AT1G08860,2.96424738976354,1.12256841616264,0.324796265051728,3.45622329118794,0.000547801325750335,0.00363624441588051,yes,up,0.955670923958969,0.72544629157211,mature_pollen,Flower,tissue_specific
AT1G09180,19.2864620576616,2.24765924193989,0.332408515524524,6.76173785257336,1.36346245589101e-11,1.02380081099363e-09,yes,up,0.65647198098181,0.32207976057165,mature_pollen,Flower,tissue_specific
AT1G09930,3.08729295470582,1.35204422249821,0.356364420443309,3.7939932971319,0.000148243677186964,0.00123546471979772,yes,up,0.922650957870473,0.669461537479331,mature_pollen,Flower,tissue_specific
AT1G27720,28.6045476205394,1.54271058574787,0.191800757318705,8.04329767678878,8.7452541949837e-16,1.71595879712292e-13,yes,up,0.951658834797977,0.5510820076783,mature_pollen,Flower,tissue_specific
AT1G54280,8.20939537220531,2.02616274876791,0.347003393260533,5.83902863234151,5.25060465386524e-09,2.03125521049452e-07,yes,up,0.983169479291579,0.831915788720055,mature_pollen,Flower,tissue_specific
AT1G62690,3.78054306922978,1.15435986941419,0.289481616785987,3.98767936365233,6.67227563856057e-05,0.000639011732085026,yes,up,0.804343823415997,0.578453334032134,mature_pollen,Flower,tissue_specific
AT1G79400,1.55401696441074,1.22114066399604,0.4485210781686,2.7225937050321,0.00647716616739252,0.0269583326977153,yes,up,0.976154698355445,0.832876279890329,mature_pollen,Flower,tissue_specific
AT1G80660,2.62067195672632,1.18067442830806,0.301167351334924,3.92032676541705,8.84289837061939e-05,0.000803593065343393,yes,up,0.955276036319439,0.99125671171294,mature_pollen,Flower,tissue_specific
AT2G28680,0.715638877340133,2.34945849500533,0.759700415609573,3.09261183320553,0.00198403462231552,0.0104560415087092,yes,up,0.949202933870824,0.882349328052093,mature_pollen,Flower,tissue_specific
AT2G33160,1.01459188636706,2.50757032806284,0.551388841578487,4.54773499021907,5.42263575687724e-06,7.66576295152324e-05,yes,up,0.858423731420521,0.223003652368424,mature_pollen,Flower,tissue_specific
AT2G41630,797.074149320049,1.03405046511497,0.144960558832432,7.13332283928549,9.79743902638582e-13,9.97102850623092e-11,yes,up,0.931793171834981,0.383291014888895,mature_pollen,Flower,tissue_specific
AT3G02810,3.51959243154262,4.3859463146131,0.72757106178865,6.02820335354014,1.65792364818255e-09,7.17176249011877e-08,yes,up,0.99487861881672,0.984761815445202,mature_pollen,Flower,tissue_specific
AT3G08810,3.09616506030301,2.09806124744077,0.333736861492192,6.28657331425722,3.24549784271415e-10,1.72673157458243e-08,yes,up,0.89299397418288,0.132861814929262,mature_pollen,Flower,tissue_specific
AT3G27060,5969.30953867891,2.67368830337074,0.288447099831939,9.26925008061628,1.87459251086177e-20,9.01531970860916e-18,yes,up,0.792789897917798,0.49290879828475,mature_pollen,Flower,tissue_specific
AT3G27620,10.3950167058867,1.08687782122852,0.245508272500153,4.42705172481652,9.55298308266445e-06,0.000123840389042553,yes,up,0.780359189570399,0.402944770106435,mature_pollen,Flower,tissue_specific
AT3G28210,78.5581605057877,2.26739682480532,0.20760182663478,10.9218539237336,9.06267778403826e-28,1.7098484462239e-24,yes,up,0.98354034647313,0.643481332122412,mature_pollen,Flower,tissue_specific
AT3G60100,2.33739824184971,2.79177518122234,0.777389688663733,3.59121714879081,0.000329137255429307,0.00238768100086206,yes,up,0.900116100502966,0.596272518867924,mature_pollen,Flower,tissue_specific
AT4G14368,1.31692623320252,1.8568287189391,0.426873052160967,4.34983822365745,1.36238002640087e-05,0.000166991978548396,yes,up,0.957161465851183,0.610425229998544,mature_pollen,Flower,tissue_specific
AT4G18990,0.52444333029345,1.54412932970712,0.560770884768285,2.75358327553893,0.00589467716659438,0.0250787071752056,yes,up,0.921618394539896,0.710642206977996,mature_pollen,Flower,tissue_specific
AT4G27980,12.1625102560899,1.90346015795382,0.2478959099124,7.67846536325044,1.61005676658698e-14,2.378907368318e-12,yes,up,0.949682574852507,0.710283841213136,mature_pollen,Flower,tissue_specific
AT4G35180,11.4600532981883,1.54262940588016,0.307302756768883,5.01990096704645,5.16981254295928e-07,1.04706847432834e-05,yes,up,0.990714749267062,0.923669383450405,mature_pollen,Flower,tissue_specific
AT4G40020,4.10425418422853,1.27286219096264,0.262106280477546,4.85628268290078,1.19609915919826e-06,2.1523642023225e-05,yes,up,0.986993392252024,0.7911082963496,mature_pollen,Flower,tissue_specific
AT5G45700,99.6124349563738,-1.24141794424804,0.273944129720539,-4.53164645475141,5.85257404520003e-06,8.19794880677448e-05,yes,down,0.950854834302134,0.764841127291078,mature_pollen,Flower,tissue_specific
AT5G60250,306.346362414216,4.51081698528359,0.332745144273789,13.5563720850935,7.26410050017609e-42,1.78166592967819e-37,yes,up,0.947485559144878,0.673254617910805,mature_pollen,Flower,tissue_specific
AT5G60260,2.15835358592377,-1.08452031066752,0.372955832016894,-2.90790548790343,0.00363858286107434,0.017011727379636,yes,down,0.961177471260487,0.559366106211317,mature_pollen,Flower,tissue_specific
AT5G61620,0.900543560813462,1.52502236171127,0.51327677375712,2.97115014682683,0.00296686691538804,0.0144582445526967,yes,up,0.952139315994499,0.483581482728218,mature_pollen,Flower,tissue_specific
AT5G66230,236.031355278092,-1.16714424405851,0.292432587869655,-3.9911565689756,6.57518522191363e-05,0.00063184968371637,yes,down,0.818975441235563,0.639818889508398,mature_pollen,Flower,tissue_specific
