gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G09080,15.4367520035255,1.88022906309625,0.371774994131088,5.05743821606592,4.24926031087574e-07,8.87747935646076e-06,yes,up,0.90571857994794,0.51827024117989,sepal,Leaf_Shoot,tissue_specific
AT1G12940,1.24394239358838,1.49905028765523,0.538099425196571,2.78582398988368,0.00533918539284711,0.0231326974263136,yes,up,0.917697328299795,0.357968295806546,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G13470,34.5873283537258,2.61266875738791,0.474869817924416,5.50186316074475,3.75798584926838e-08,1.11723780515158e-06,yes,up,0.931363122478487,0.715862344488634,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G15580,23.3511664315796,1.68329632164708,0.301735347909086,5.57871768525532,2.42298117040558e-08,7.65830659362598e-07,yes,up,0.710874282741206,0.360245521787204,hypocotyl,Leaf_Shoot,tissue_specific
AT1G15790,16.2896445844102,1.26489557260031,0.189903924869625,6.66071316571628,2.72502012922873e-11,1.9261258994119e-09,yes,up,0.839862305612122,0.364100533934933,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G21240,3.63391754624128,3.76478511447207,0.781358916338531,4.81825321980576,1.44820502514489e-06,2.53715176083777e-05,yes,up,0.937137200019675,0.689169933128076,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G21250,170.678873000161,2.14627127705285,0.312799296518056,6.86149649613728,6.81428761853596e-12,5.62740849898422e-10,yes,up,0.817252388168377,0.702688764390927,cauline_leaf,Leaf_Shoot,tissue_specific
AT1G24140,17.1850679669718,2.02076413043901,0.262157057332419,7.70821945821831,1.27585216534258e-14,1.94365379250667e-12,yes,up,0.888701907056194,0.555801465995378,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G33760,10.3633129316877,2.46407554570197,0.896636445702907,2.74813226420914,0.00599358258051247,0.0254025574481129,yes,up,0.95500345639396,0.775617844060371,cotyledon,Leaf_Shoot,tissue_specific
AT1G35710,138.022471752594,1.65170718671433,0.268691586221142,6.14722332747302,7.88510727652416e-10,3.76260751306047e-08,yes,up,0.871493206575127,0.731072636681558,cauline_leaf,Leaf_Shoot,tissue_specific
AT1G47890,3.14410632698914,1.80354181985384,0.354821930813824,5.08294911680689,3.71619279177602e-07,7.93272938240995e-06,yes,up,0.948802570742993,0.451140082496979,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G57630,7.02374327046297,3.02845173564213,0.446774663239594,6.77847690306029,1.21449387309346e-11,9.35487481102882e-10,yes,up,0.926888543904129,0.64373344230121,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G58300,5.05996601089934,2.07323338600416,0.470977965404382,4.4019753328037,1.07269755033213e-05,0.000136746636262973,yes,up,0.715780949936978,0.32775881368597,cotyledon,Leaf_Shoot,tissue_specific
AT1G58420,19.7650503236108,1.75202997792444,0.249256138864262,7.02903441378647,2.07967685740407e-12,1.94687917105151e-10,yes,up,0.760774556649083,0.547759772687589,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G65790,5.52814136661366,2.42907382495482,0.510822188398092,4.75522379435444,1.98226705277139e-06,3.33235531208526e-05,yes,up,0.864257152073736,0.652354461671443,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G68200,59.0858191486684,2.95625584486859,0.307520054982447,9.61321317738879,7.03196152319125e-22,4.31182300698279e-19,yes,up,0.938946078316424,0.512453960293258,stem,Leaf_Shoot,tissue_specific
AT1G68240,17.3494375534926,3.12370935660701,0.426860414087838,7.31787079221691,2.51936257653903e-13,2.90105192088135e-11,yes,up,0.935044324381791,0.161076377334045,mature_pollen,Leaf_Shoot,tissue_specific
AT1G69720,4.92190062810611,1.47831006904717,0.287592761273961,5.14028956256981,2.74315394966376e-07,6.16129459005523e-06,yes,up,0.817187819669715,0.626848596503777,mature_pollen,Leaf_Shoot,tissue_specific
AT1G72910,88.8718098105916,1.63114142311569,0.295972308408069,5.51112849674698,3.56540304012665e-08,1.07562903278212e-06,yes,up,0.732162412650426,0.661275547986846,sepal,Leaf_Shoot,tissue_specific
AT1G73805,55.9507391544501,2.41394282619478,0.293590702971002,8.22213647014974,1.99909520699269e-16,4.53707496632512e-14,yes,up,0.861859367464188,0.581357606237487,senescing_leaf,Leaf_Shoot,tissue_specific
AT1G74440,45.7699807656694,1.53981275774898,0.170332996634645,9.04001449027396,1.56651050631541e-19,6.29865626039311e-17,yes,up,0.685396338345745,0.450569903449455,cotyledon,Leaf_Shoot,tissue_specific
AT2G01300,17.6816246998317,1.1601531032141,0.360456027710882,3.2185704053329,0.00128831338973166,0.00735361007911298,yes,up,0.807339275959141,0.470063643591963,cotyledon,Leaf_Shoot,tissue_specific
AT2G14560,116.272795633191,3.0771032585321,0.605163836168335,5.08474412155084,3.68122011563183e-07,7.86492036377195e-06,yes,up,0.868456483891895,0.745076133302737,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G17040,34.5002130575426,2.34328993970417,0.260621567784338,8.99115894216101,2.44636972762048e-19,9.48599285901938e-17,yes,up,0.876250175613168,0.756340233850898,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G20142,25.02545246515,1.92689687284889,0.282989393583652,6.80907806631026,9.82261702601302e-12,7.72177332682761e-10,yes,up,0.822084830416508,0.532664592729026,cotyledon,Leaf_Shoot,tissue_specific
AT2G21640,92.7019319571314,1.82720391832701,0.224899834043466,8.12452319539674,4.49124434230421e-16,9.41510683621327e-14,yes,up,0.846521481105808,0.330461505354658,sepal,Leaf_Shoot,tissue_specific
AT2G24850,16.5609449596209,3.01693841660042,0.656698844269121,4.59409734451132,4.34626469418302e-06,6.37183706839371e-05,yes,up,0.883560943556097,0.601498246868129,flower_stage_15,Leaf_Shoot,tissue_specific
AT2G29110,1.93408681818421,1.5480432965435,0.374565176633149,4.13290768367305,3.58202625979503e-05,0.000380330554432869,yes,up,0.869096434706477,0.460011266536218,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G32140,8.9267648024827,1.73116809915667,0.315537610508249,5.48640809052272,4.10188684803472e-08,1.20921849425177e-06,yes,up,0.824225307432739,0.462924623707064,cotyledon,Leaf_Shoot,tissue_specific
AT2G32680,29.6995066802623,2.222291775466,0.374937472456681,5.92709968652909,3.08331817031172e-09,1.25138705292772e-07,yes,up,0.879187253003121,0.715072030311554,senescing_leaf,Leaf_Shoot,tissue_specific
AT2G40750,24.4796657549558,1.45947210960883,0.245391285563596,5.94753031370623,2.7221836534003e-09,1.11662777181486e-07,yes,up,0.803519140511033,0.579256538137548,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G05660,17.6806656634028,1.15069688320076,0.245092883877907,4.69494203582825,2.66682333708692e-06,4.28350857817491e-05,yes,up,0.672762035590163,0.436645201376677,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G09870,2.46468021212429,2.68670758686435,0.676898309734119,3.96914506688556,7.21309609600448e-05,0.000683071845354061,yes,up,0.866627536760933,0.523764510910753,shoot_apex_vegetative_with_leaves,Leaf_Shoot,tissue_specific
AT3G11010,131.059237335046,1.23411084086452,0.20897540098487,5.90553163218418,3.51511328587985e-09,1.40415608408429e-07,yes,up,0.885601391374042,0.663689182526263,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G22231,104.666620234858,2.2431562570391,0.51588319514034,4.34818633010302,1.3726796205919e-05,0.000168086435617861,yes,up,0.851103612319039,0.691893293645217,whole_plant_pre_bolting,Leaf_Shoot,tissue_specific
AT3G24900,4.35520165626949,1.69611040618433,0.363542780564788,4.66550430061988,3.07861056408953e-06,4.80901848572423e-05,yes,up,0.891104646145593,0.421088010105989,senescing_leaf,Leaf_Shoot,tissue_specific
AT3G25180,1.33277866802476,2.50043909486492,0.776129410858489,3.22167806023373,0.00127442246055691,0.00728619106994855,yes,up,0.814803508419863,0.420040409211161,pedicel,Leaf_Shoot,tissue_specific
AT3G28340,64.5784688505499,1.08941057338998,0.22472321321996,4.84778834273637,1.24845496031462e-06,2.22859205324866e-05,yes,up,0.739226005279562,0.339343137372091,cotyledon,Leaf_Shoot,tissue_specific
