gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G01560,10.9110832526831,3.28450892657035,0.370889760148577,8.85575521215411,8.31191093347069e-19,2.75494918196264e-16,yes,up,0.744834553176797,0.416566536593982,sepal,Seedling,tissue_specific
AT1G02920,412.786086020931,1.95240010791416,0.205703981853773,9.49130926061534,2.28150444299795e-21,1.30135952263746e-18,yes,up,0.749948622536459,0.56811789453635,senescing_leaf,Seedling,tissue_specific
AT1G07160,10.6553725283103,1.20940286671659,0.27267547596157,4.43531954038669,9.19358179335577e-06,0.000120286318654308,yes,up,0.914594104804444,0.539744093135862,mature_pollen,Seedling,tissue_specific
AT1G10340,29.1779607154946,1.622230775448,0.257650794041759,6.29623821452331,3.04955611969036e-10,1.63668409075811e-08,yes,up,0.854537328102455,0.553716915964973,senescing_leaf,Seedling,tissue_specific
AT1G10585,3.0803929908747,1.03880932261908,0.29163011787026,3.56207832786743,0.00036793056817259,0.00262256118732029,yes,up,0.901860014273755,0.596627423718239,sepal,Seedling,tissue_specific
AT1G12030,10.2604175336724,1.39209821939631,0.314187959696754,4.43078156381273,9.38921623712438e-06,0.000122299153822597,yes,up,0.884638467893901,0.610981156366937,seed_stage_10,Seedling,tissue_specific
AT1G12480,66.6310677385436,1.14515656875139,0.228409282021341,5.01361660356863,5.34163715736755e-07,1.07830728031896e-05,yes,up,0.699510401122133,0.421156623353689,cauline_leaf,Seedling,tissue_specific
AT1G16130,40.1102560058677,1.28271776544651,0.303383799608531,4.22803645778601,2.35739599716938e-05,0.000265954997127727,yes,up,0.859808102023538,0.7146151982743,seedling_green_parts,Seedling,tissue_specific
AT1G17380,30.5188513411324,1.9614647186986,0.245346873476876,7.99465952389024,1.29932426342006e-15,2.45142509299259e-13,yes,up,0.683154913085677,0.372969076232562,petal,Seedling,tissue_specific
AT1G18570,153.223976281269,1.86371763624545,0.289628126079291,6.43486411860161,1.23583837536909e-10,7.54015120215864e-09,yes,up,0.839876489542137,0.751554485134326,seedling_green_parts,Seedling,tissue_specific
AT1G19020,104.20892004115,1.93585570015657,0.265319358547889,7.29632285692095,2.9573876946151e-13,3.34266580579837e-11,yes,up,0.810686909783021,0.590833543600585,sepal,Seedling,tissue_specific
AT1G19380,132.185104398538,1.806219439243,0.314674057715519,5.73996932685157,9.46937007645372e-09,3.36601796906059e-07,yes,up,0.701545335671495,0.549881408240062,seedling_green_parts,Seedling,tissue_specific
AT1G19770,975.354078076999,1.03795120376057,0.289183878717524,3.58924297012576,0.000331639635640136,0.00239944700393676,yes,up,0.608401573036234,0.481914681479276,seedling_green_parts,Seedling,tissue_specific
AT1G20350,26.5481367297167,3.91360474520746,0.381638500526289,10.254743008922,1.12675322503997e-24,1.10543505402222e-21,yes,up,0.746967792480819,0.552114323972932,cotyledon,Seedling,tissue_specific
AT1G20750,82.6735541756814,8.13286481370814,0.710320852315885,11.4495650623127,2.36328290757989e-30,7.24552998427649e-27,yes,up,0.761990322015336,0.165431328107213,mature_pollen,Seedling,tissue_specific
AT1G23710,188.101333245542,1.5884692445391,0.219432689857374,7.2389817833048,4.52065738169929e-13,4.99451187391615e-11,yes,up,0.654646496212493,0.371296513644616,seed_stage_8,Seedling,tissue_specific
AT1G23840,9.5919577202968,1.55035758106988,0.308993927066086,5.01743706030279,5.23653484626734e-07,1.05883338973124e-05,yes,up,0.781190347849495,0.575031033729882,senescing_leaf,Seedling,tissue_specific
AT1G25400,189.710308285091,1.0026526759456,0.299953720207914,3.34269125000552,0.000829701590921551,0.00511437318937745,yes,up,0.803926541347517,0.686088764169887,seedling_green_parts,Seedling,tissue_specific
AT1G26380,27.5420944219053,2.95603208597157,0.388442042000108,7.60996948412385,2.74160646396782e-14,3.79982331172135e-12,yes,up,0.871319725594666,0.743186472340783,senescing_leaf,Seedling,tissue_specific
AT1G26420,18.5088433870088,1.78556517569033,0.280333838934079,6.36942433521273,1.89738995230431e-10,1.08731970467682e-08,yes,up,0.91321085204178,0.715456388969923,senescing_leaf,Seedling,tissue_specific
AT1G27770,998.656578061369,1.05239623943247,0.171415281811473,6.13945401081526,8.28055918925877e-10,3.92146907740296e-08,yes,up,0.640727246537523,0.390928929527133,cotyledon,Seedling,tissue_specific
AT1G28370,33.5704030096936,1.98657647810527,0.312323064043344,6.3606460963433,2.00906860727942e-10,1.14330454131653e-08,yes,up,0.815507123299856,0.601777184780756,cotyledon,Seedling,tissue_specific
AT1G32920,279.996237130601,1.08322367513554,0.228402628599301,4.74260599266527,2.10986375007538e-06,3.49452496662249e-05,yes,up,0.732639025232811,0.315014985044843,seed_stage_8,Seedling,tissue_specific
AT1G32960,1.99928295135848,1.72639928069806,0.499381874702383,3.45707236917027,0.000546078177666226,0.0036287346149064,yes,up,0.93154872945783,0.425288681266498,senescing_leaf,Seedling,tissue_specific
AT1G33030,3.79141367459499,1.93445813423496,0.38435268967617,5.03302874207751,4.82790707663721e-07,9.93406685139941e-06,yes,up,0.917423750351473,0.346199917065165,senescing_leaf,Seedling,tissue_specific
AT1G33960,50.9124871479733,2.81586775842525,0.428978407426678,6.56412469643137,5.23393897160318e-11,3.45088228915353e-09,yes,up,0.896207683732816,0.530524249382266,sepal,Seedling,tissue_specific
AT1G35230,26.3138806795777,2.36362058560173,0.24107206966629,9.80462228110302,1.07548615703329e-22,7.21326437615835e-20,yes,up,0.875718057693849,0.498286148960078,sepal,Seedling,tissue_specific
AT1G44130,9.38287291728948,3.46810460984071,0.443838536708547,7.81388798629284,5.54503776567662e-15,9.00683054826162e-13,yes,up,0.832919627413212,0.151838515862083,senescing_leaf,Seedling,tissue_specific
AT1G53080,4.95787335627136,1.32486419419015,0.263571622315247,5.02658132371145,4.99300798416465e-07,1.01461066137205e-05,yes,up,0.821624879901693,0.518807568075153,inflorescence_apex,Seedling,tissue_specific
AT1G55450,668.916194120898,1.22450271734437,0.198028429364981,6.18346931938504,6.27079257330319e-10,3.07446667984377e-08,yes,up,0.828111226410809,0.759186636025904,seedling_green_parts,Seedling,tissue_specific
AT1G56060,6.05356463443444,2.87495188765209,0.475051080204144,6.05187948718406,1.43165558703543e-09,6.31550657971549e-08,yes,up,0.814647009367759,0.486535482682827,sepal,Seedling,tissue_specific
AT1G56510,576.499534139668,1.49258227511194,0.185472540008115,8.04745691759348,8.4532112971399e-16,1.68562531288578e-13,yes,up,0.765920502792003,0.647591054752109,cotyledon,Seedling,tissue_specific
AT1G63750,118.474196875241,1.11735352399164,0.221103793108116,5.05352490015976,4.3372973960826e-07,9.04599432259506e-06,yes,up,0.863103624401395,0.808732908248249,seedling_green_parts,Seedling,tissue_specific
AT1G64020,1.00158024718378,1.25592943625492,0.429483337592451,2.92427977135333,0.00345254286932379,0.0163192366459635,yes,up,0.809499528462192,0.318002307027727,mature_pollen,Seedling,tissue_specific
AT1G65390,222.296522470411,1.69874751481036,0.318530027464804,5.33308438243883,9.65584128888536e-08,2.52213865061226e-06,yes,up,0.88195399715509,0.769582823780165,cotyledon,Seedling,tissue_specific
AT1G65500,20.605056044681,1.38414016335944,0.27526508593118,5.0283898471072,4.94615509572291e-07,1.00843180409639e-05,yes,up,0.845433054524692,0.68309099494553,sepal,Seedling,tissue_specific
AT1G66090,88.3791202165021,2.36832305120424,0.386110162011359,6.13380139716334,8.58036249852592e-10,4.04516809947438e-08,yes,up,0.901688931823495,0.661311754003765,cotyledon,Seedling,tissue_specific
AT1G67220,1.47256345577931,1.58154395725226,0.427597268069856,3.6986764774977,0.000216726636760777,0.00169396246648552,yes,up,0.647580106666879,0.130369234159611,mature_pollen,Seedling,tissue_specific
AT1G69840,315.701498011317,1.10235969920741,0.184719764870118,5.9677409181552,2.40560939490328e-09,1.00173822799308e-07,yes,up,0.680587451804926,0.362128272577981,mature_pollen,Seedling,tissue_specific
AT1G69890,131.536525765894,1.01394057966493,0.251307041683945,4.03466839954333,5.46794629869084e-05,0.000540775479306412,yes,up,0.71048820060187,0.529211092685896,seedling_green_parts,Seedling,tissue_specific
AT1G69920,3.71602467849141,3.02022446028664,0.635087199540017,4.75560594273375,1.97852068141749e-06,3.32833859760814e-05,yes,up,0.847838983064418,0.693268361991844,seedling_green_parts,Seedling,tissue_specific
AT1G72520,159.816261487197,2.34205089528286,0.319052966232288,7.34063350966536,2.12585191616158e-13,2.48289380703309e-11,yes,up,0.838229034317125,0.719484202988291,cotyledon,Seedling,tissue_specific
AT1G72900,169.839262038478,1.81975926238258,0.256959739077093,7.08188476886883,1.42206887496133e-12,1.38960491219826e-10,yes,up,0.804159325321844,0.75725734834177,seedling_green_parts,Seedling,tissue_specific
AT1G72920,49.2594717305275,1.69095670135155,0.250734082804446,6.74402411685837,1.54058950797074e-11,1.14851181951363e-09,yes,up,0.880819994308096,0.670199161317977,cotyledon,Seedling,tissue_specific
AT1G72940,154.249187265381,1.11170826192068,0.207530700748906,5.3568376047925,8.46911760016507e-08,2.26030519455113e-06,yes,up,0.84115457478858,0.722987552570626,cotyledon,Seedling,tissue_specific
AT1G74450,230.776825232702,1.13693060296656,0.131176446935469,8.66718553160588,4.42932885760947e-18,1.32208814400433e-15,yes,up,0.873976127250409,0.260696796295853,mature_pollen,Seedling,tissue_specific
AT1G76600,105.973395654888,1.44713383258858,0.282662780027323,5.1196476325914,3.06107060187073e-07,6.72749808710424e-06,yes,up,0.73959789715842,0.466522350137459,mature_pollen,Seedling,tissue_specific
AT1G76650,55.3364923411248,2.06576652959602,0.438591477985997,4.71000152370031,2.47714939551644e-06,4.01301474397832e-05,yes,up,0.849340355391845,0.401455452100045,cotyledon,Seedling,tissue_specific
AT1G78410,10.7709494489081,2.3386804796954,0.366281154010132,6.38493259642483,1.7147298004815e-10,9.96615588066583e-09,yes,up,0.854353500980285,0.684839895992042,senescing_leaf,Seedling,tissue_specific
AT1G79680,2.86226884224505,2.7077857551982,0.480495669441032,5.63540095657512,1.74651499025672e-08,5.74990243839284e-07,yes,up,0.76960651863114,0.381383024625805,senescing_leaf,Seedling,tissue_specific
AT1G80840,142.373265046175,3.21222777259634,0.415866250661094,7.7241848009785,1.12571426174036e-14,1.73650274828339e-12,yes,up,0.82690073659237,0.606129194658512,cotyledon,Seedling,tissue_specific
AT2G04070,7.54557758624071,1.00426201084086,0.288300439592262,3.48338702591357,0.000495112037377364,0.00334719210053876,yes,up,0.687595631036895,0.180141954357161,cauline_leaf,Seedling,tissue_specific
AT2G04450,60.9879618187187,1.23526985607609,0.252805683307676,4.88624242902289,1.02778633088549e-06,1.89253118150364e-05,yes,up,0.848801192494961,0.630656715950506,whole_plant_pre_bolting,Seedling,tissue_specific
AT2G14610,12.8309659485202,3.79009053042182,0.945499238620005,4.00856010836519,6.10900904538442e-05,0.000594350118429765,yes,up,0.867910079669587,0.702544892654454,cotyledon,Seedling,tissue_specific
AT2G22500,428.203804431838,1.0135455697308,0.159714172752194,6.34599642765189,2.20990362162208e-10,1.24890106284619e-08,yes,up,0.646712561094291,0.379838663628387,cotyledon,Seedling,tissue_specific
AT2G22880,8.29726907977318,6.42761758880559,2.28300523939971,2.81541955221078,0.0048713591568223,0.021524339255947,yes,up,0.923478078070983,0.762567647026533,seedling_green_parts,Seedling,tissue_specific
