gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,deg_flag,direction,tau_subtissue,tau_broad,predominant_subtissue,predominant_broad_organ,tissue_class
AT1G01150,1.64539102624123,-1.07364985280134,0.363452585254138,-2.95403003407062,0.0031365347876073,0.0151050046604446,yes,down,0.595890053697367,0.297512631507037,,,constitutive
AT1G07520,30.7131353714393,1.22545396275955,0.396771987060281,3.0885596834571,0.00201129289758638,0.0105769684603562,yes,up,0.422549516807053,0.386998232900702,,,constitutive
AT1G08250,70.0546501400832,-3.86503038159307,0.550594065996447,-7.01974579874605,2.22272265207039e-12,2.06502721542919e-10,yes,down,0.579372742367972,0.296640014169273,,,constitutive
AT1G09815,405.884309374383,1.27951501396953,0.168778450070831,7.58103308468916,3.42814157402568e-14,4.54497450735826e-12,yes,up,0.563297488663981,0.3366249945177,,,constitutive
AT1G17460,130.623609210932,1.79914953997531,0.198559750961826,9.06099816936817,1.29262177900484e-19,5.37358209722912e-17,yes,up,0.581224943581719,0.389113261006354,,,constitutive
AT1G19160,0.867416654108981,1.46417270902611,0.507008546066955,2.88786593516859,0.00387865149646413,0.0179020860470034,yes,up,0.412020479848218,0.229292479187169,,,constitutive
AT1G19410,1.27724865807471,1.78611071071355,0.65098335319737,2.74371180451987,0.00607488445189708,0.0256434423992005,yes,up,0.525988596668877,0.214683892027056,,,constitutive
AT1G26590,8.14109010496866,1.32944258325006,0.280221443837334,4.74425713123436,2.0927288855673e-06,3.47517680272913e-05,yes,up,0.534981660467884,0.46339589365764,,,constitutive
AT1G27820,2.84338184089189,2.89873615354292,0.430384474487718,6.73522472434271,1.63676763903023e-11,1.20918674344863e-09,yes,up,0.484709623584102,0.155727716622521,,,constitutive
AT1G30160,13.4273568405175,2.9176711380881,0.332285584951844,8.78061303354747,1.62586024882155e-18,5.11249670805719e-16,yes,up,0.520654279241163,0.197699504822855,,,constitutive
AT1G32375,1.61818412795197,1.09430201841416,0.324844895212983,3.36869082611467,0.000755260955961457,0.00472653480418346,yes,up,0.47409971368251,0.277077572508797,,,constitutive
AT1G32570,7.66631483510383,3.06443355409045,0.421977672995876,7.26207510538217,3.81196424228297e-13,4.26922588906276e-11,yes,up,0.51516131108952,0.167690839004612,,,constitutive
AT1G35880,0.953897791656495,1.98535521873018,0.594924145635315,3.33715690192744,0.000846401516235197,0.00520162615602623,yes,up,0.550328613459549,0.22621787083022,,,constitutive
AT1G49900,2.32603025777597,1.74279135445446,0.36532661037694,4.77050207937567,1.83767288641197e-06,3.1213713909298e-05,yes,up,0.599410489543614,0.24510112437582,,,constitutive
AT1G53980,1.43863334344501,1.31605055383183,0.425345161316543,3.09407670175051,0.00197426438435549,0.0104124043660106,yes,up,0.571950836859175,0.498671139547324,,,constitutive
AT1G59660,270.993280372135,1.66478059846569,0.212951216758722,7.817661827929,5.38135249825987e-15,8.85828407549126e-13,yes,up,0.546100932728729,0.602317483330509,,,constitutive
AT1G63870,0.663573901660595,1.62269895823166,0.544441241287274,2.98048500953925,0.00287792323287192,0.0140751392089032,yes,up,0.595750752203452,0.228938314085233,,,constitutive
AT1G66780,8.651312744432,2.28272839445223,0.352381561731381,6.4780018092784,9.29452395457814e-11,5.84530228292149e-09,yes,up,0.46580760987262,0.158803358314483,,,constitutive
AT1G70130,0.719286622416959,1.47626899370285,0.513718363595846,2.87369324968158,0.00405702791654447,0.0185716169669814,yes,up,0.577139947205242,0.384646315881578,,,constitutive
AT1G74400,24.238158952109,1.02761907766157,0.226003383313126,4.54691900004794,5.44369364834901e-06,7.68224822284558e-05,yes,up,0.514605282784763,0.108753346474377,,,constitutive
AT2G01960,0.886834810883028,2.4348252572649,0.734615997460071,3.314419051155,0.000918337656258497,0.00554643380818817,yes,up,0.585124276475325,0.191406369670004,,,constitutive
AT2G18190,4.67364346890449,3.1815590113178,0.602389512518686,5.28156441172954,1.28085435025051e-07,3.21880273038875e-06,yes,up,0.503615578970742,0.135145885883829,,,constitutive
AT2G18720,10.4133599351059,2.22845989129795,0.382715302534925,5.82276140132806,5.78831642238318e-09,2.20450367844398e-07,yes,up,0.538143513705963,0.406362432456648,,,constitutive
AT2G21910,3.02911135316995,4.29414658364193,0.872877018951387,4.91953217968851,8.67513056703831e-07,1.63673021090576e-05,yes,up,0.52316560830875,0.275344748727826,,,constitutive
AT2G23810,848.122571303523,1.20180002718741,0.23289312278908,5.1603070661551,2.46545124574806e-07,5.60964708542561e-06,yes,up,0.56047629838241,0.260543502229448,,,constitutive
