Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Term Source REF	Term Accession Number	Characteristics[strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Ionizing Radiation]	Term Source REF	Term Accession Number	Factor Value[Absorbed Radiation Dose]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Growth Medium]	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Light Intensity]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[number of particle types]	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[time between exposures]	Parameter Value[ionizing radiation energy (in order of administration)]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[particle charge]	Term Source REF	Term Accession Number	Parameter Value[linear energy transfer]	Parameter Value[ionizing radiation device]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Did samples remain in the beamline between exposures?]	Comment[Tissue]	Comment[Exposure order of administration]	Comment[Particles]
Control_1	CWRU004174_S1	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Available	OSD	https://osdr.nasa.gov/	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	Not Applicable	Not Applicable
Control_2	CWRU004175_S2	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Available	OSD	https://osdr.nasa.gov/	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	Not Applicable	Not Applicable
Control_3	CWRU004176_S3	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Available	OSD	https://osdr.nasa.gov/	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	Not Applicable	Not Applicable
GCR40_1	CWRU004177_S4	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	mixed radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000015	40	centigray	UO	http://purl.obolibrary.org/obo/UO_0010055	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	6	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121		Not Available	OSD	https://osdr.nasa.gov/	Exposures were done sequentially and completed in approximately 20 minutes.	1000, 250, 250, 350, 600, 600	megaelectronvolt per nucleon	UO	http://purl.obolibrary.org/obo/UO_0010058	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	see protocol description	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	H1 + H1 + He4 + O16 + Si + Fe56	35% 1000 MeV/n H1, 39% 250 MeV/n H1, 18% 250 MeV/n He4, 6% 350 MeV/n O16, 1% 600 MeV/n Si, 1% 600 MeV/n Fe56
GCR40_2	CWRU004178_S5	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	mixed radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000015	40	centigray	UO	http://purl.obolibrary.org/obo/UO_0010055	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	6	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121		Not Available	OSD	https://osdr.nasa.gov/	Exposures were done sequentially and completed in approximately 20 minutes.	1001, 250, 250, 350, 600, 600	megaelectronvolt per nucleon	UO	http://purl.obolibrary.org/obo/UO_0010058	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	see protocol description	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	H1 + H1 + He4 + O16 + Si + Fe56	35% 1000 MeV/n H1, 39% 250 MeV/n H1, 18% 250 MeV/n He4, 6% 350 MeV/n O16, 1% 600 MeV/n Si, 1% 600 MeV/n Fe56
GCR40_3	CWRU004179_S6	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	mixed radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000015	40	centigray	UO	http://purl.obolibrary.org/obo/UO_0010055	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	6	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121		Not Available	OSD	https://osdr.nasa.gov/	Exposures were done sequentially and completed in approximately 20 minutes.	1002, 250, 250, 350, 600, 600	megaelectronvolt per nucleon	UO	http://purl.obolibrary.org/obo/UO_0010058	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	see protocol description	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	H1 + H1 + He4 + O16 + Si + Fe56	35% 1000 MeV/n H1, 39% 250 MeV/n H1, 18% 250 MeV/n He4, 6% 350 MeV/n O16, 1% 600 MeV/n Si, 1% 600 MeV/n Fe56
GCR40_4	CWRU004180_S7	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	mixed radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000015	40	centigray	UO	http://purl.obolibrary.org/obo/UO_0010055	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	6	particle accelerator	RBO	http://purl.obolibrary.org/obo/RBO_00000121		Not Available	OSD	https://osdr.nasa.gov/	Exposures were done sequentially and completed in approximately 20 minutes.	1003, 250, 250, 350, 600, 600	megaelectronvolt per nucleon	UO	http://purl.obolibrary.org/obo/UO_0010058	20	minute	UO	http://purl.obolibrary.org/obo/UO_0000031	NSRL Simplified Galactic Cosmic Ray Simulation	RBO	http://purl.obolibrary.org/obo/RBO_00000054	see protocol description	NASA Space Radiation Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000030	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	H1 + H1 + He4 + O16 + Si + Fe56	35% 1000 MeV/n H1, 39% 250 MeV/n H1, 18% 250 MeV/n He4, 6% 350 MeV/n O16, 1% 600 MeV/n Si, 1% 600 MeV/n Fe56
Control_4	CWRU004181_S8	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Available	OSD	https://osdr.nasa.gov/	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	Not Applicable	Not Applicable
Control_5	CWRU004182_S9	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Available	OSD	https://osdr.nasa.gov/	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	Not Applicable	Not Applicable
Control_6	CWRU004183_S10	Arabidopsis thaliana	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3702	Wild Type	NCIT	http://purl.obolibrary.org/obo/NCIT_C62195	Columbia ecotype	EFO	http://www.ebi.ac.uk/efo/EFO_0005147	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025		Not Applicable	OSD	https://osdr.nasa.gov/	growth protocol	0.5X Murashige and Skoog (MS) phytagel media (with 0.5% sucrose and 1x Gamborg vitamins)	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	22	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	150	micromole per square meter per second	UO	http://purl.obolibrary.org/obo/UO_0000160	10	day	UO	http://purl.obolibrary.org/obo/UO_0000033	irradiation protocol	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not Available	OSD	https://osdr.nasa.gov/	Not Applicable		Not Applicable	OSD	https://osdr.nasa.gov/		Not Applicable	OSD	https://osdr.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	Not Available	10 day old seedlings	Not Applicable	Not Applicable
