"broad_organ","sub_tissue","total_DEGs","upregulated","downregulated","median_log2FC","mean_log2FC","mean_tau_subtissue"
"Flower","carpel",36,21,15,0.294,0.4015,0.7282
"Flower","flower_stage_10_11",21,10,11,-0.1173,0.2175,0.7713
"Flower","flower_stage_12",2,1,1,0.8203,0.8203,0.7923
"Flower","flower_stage_15",10,8,2,0.528,0.8375,0.8028
"Flower","flower_stage_9",36,20,16,0.374,0.361,0.765
"Flower","inflorescence_apex",201,29,172,-0.3184,-0.2857,0.7084
"Flower","mature_pollen",530,381,149,0.2153,0.2881,0.829
"Flower","pedicel",69,10,59,-0.1802,-0.0269,0.6944
"Flower","petal",101,45,56,-0.1629,0.0892,0.764
"Flower","sepal",120,117,3,0.601,0.8455,0.7722
"Flower","stamen",66,39,27,0.2789,0.2776,0.7909
"Leaf_Shoot","cauline_leaf",77,57,20,0.2863,0.4186,0.7448
"Leaf_Shoot","cotyledon",169,96,73,0.5468,0.698,0.7478
"Leaf_Shoot","hypocotyl",114,55,59,-0.1212,0.162,0.759
"Leaf_Shoot","rosette_leaf",38,2,36,-0.1639,-0.141,0.6761
"Leaf_Shoot","rosette_vegetative",129,2,127,-0.1943,-0.21,0.6743
"Leaf_Shoot","senescing_leaf",436,426,10,0.5319,0.7793,0.7852
"Leaf_Shoot","shoot_apex_transition",212,32,180,-0.2984,-0.247,0.7028
"Leaf_Shoot","shoot_apex_vegetative",63,5,58,-0.2229,-0.2429,0.6693
"Leaf_Shoot","shoot_apex_vegetative_with_leaves",59,3,56,-0.171,-0.0985,0.6818
"Leaf_Shoot","stem",102,47,55,-0.1449,0.133,0.7622
"Root","root",432,154,278,-0.2478,-0.0073,0.8563
"Seed_Silique","seed_stage_10",180,137,43,0.2417,0.321,0.7635
"Seed_Silique","seed_stage_6",96,28,68,-0.157,-0.0874,0.7379
"Seed_Silique","seed_stage_7",62,32,30,0.1007,0.1428,0.7516
"Seed_Silique","seed_stage_8",54,40,14,0.3341,0.3849,0.7655
"Seed_Silique","seed_stage_9",116,83,33,0.2722,0.3044,0.7782
"Seed_Silique","silique_stage_3",33,12,21,-0.2235,0.0555,0.7402
"Seed_Silique","silique_stage_4",49,28,21,0.271,0.4933,0.7731
"Seed_Silique","silique_stage_5",19,10,9,0.1488,0.1875,0.7537
"Seedling","seedling_green_parts",61,54,7,0.9226,0.8949,0.7984
"Seedling","whole_plant_pre_bolting",11,10,1,0.6965,0.8493,0.7635
"constitutive","(all)",2115,1055,1060,-0.0603,0.0761,0.4829
"unannotated","(all)",1123,670,453,0.2057,0.3048,NA
"TOTAL","(all)",6942,3719,3223,0.1211,0.2,0.6663
