"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01030",73.72569735,-0.227971894,0.080732806,-2.823782633,0.004746056,0.020257907,"yes","down",0.703983716491082,0.627315506985561,"tissue_specific","Flower","flower_stage_10_11"
"AT1G01070",105.277176,-0.260076634,0.088592549,-2.935649063,0.003328506,0.015216656,"yes","down",0.808140703299482,0.439065526031619,"tissue_specific","Flower","stamen"
"AT1G01110",56.7658119,-0.257627733,0.105014541,-2.453257714,0.014156887,0.048380936,"yes","down",0.745730923410608,0.779158573715198,"tissue_specific","Flower","inflorescence_apex"
"AT1G01340",138.2257804,0.705660563,0.104727063,6.738091809,1.6e-11,1.11e-09,"yes","up",0.84602687462346,0.733909047469624,"tissue_specific","Flower","mature_pollen"
"AT1G01370",70.51080321,-0.487607451,0.096406866,-5.057808368,4.24e-07,8.4e-06,"yes","down",0.761012155145832,0.653842045293593,"tissue_specific","Flower","inflorescence_apex"
"AT1G01560",14.31331391,2.805848032,0.315686297,8.888089392,6.22e-19,1.9e-16,"yes","up",0.744834553176797,0.416566536593982,"tissue_specific","Flower","sepal"
"AT1G02170",374.1400766,0.272595121,0.062545826,4.358326347,1.31e-05,0.000155017,"yes","up",0.6796218762257,0.204991485259878,"tissue_specific","Flower","mature_pollen"
"AT1G02390",24.29507966,0.775657283,0.224543255,3.454378017,0.000551564,0.003484859,"yes","up",0.752660617338808,0.676891891294604,"tissue_specific","Flower","sepal"
"AT1G02450",8.482239965,2.699864577,0.425076136,6.351484707,2.13e-10,1.13e-08,"yes","up",0.860614948968269,0.728979174516171,"tissue_specific","Flower","pedicel"
"AT1G02470",8.428377939,0.500950511,0.176159988,2.843724702,0.004458956,0.019247566,"yes","up",0.894013080323619,0.830475907382869,"tissue_specific","Flower","petal"
"AT1G02670",42.99345137,0.865083848,0.155774512,5.553436404,2.8e-08,8.19e-07,"yes","up",0.790019484835575,0.678855236966253,"tissue_specific","Flower","flower_stage_9"
"AT1G02730",1039.881828,-1.0626433,0.26272376,-4.044717161,5.24e-05,0.000497147,"yes","down",0.753227621150122,0.606454184937292,"tissue_specific","Flower","inflorescence_apex"
"AT1G03060",1048.670013,0.096921404,0.032018677,3.02702717,0.002469718,0.011883783,"yes","up",0.629128267289313,0.279669762028196,"tissue_specific","Flower","mature_pollen"
"AT1G03180",41.71868652,-0.319451933,0.104258562,-3.064035475,0.00218373,0.010789515,"yes","down",0.739735253290377,0.338447310932545,"tissue_specific","Flower","mature_pollen"
"AT1G03260",135.2058045,0.175947782,0.058885313,2.987973981,0.002808335,0.01323488,"yes","up",0.743737113864212,0.125050305663243,"tissue_specific","Flower","mature_pollen"
"AT1G03370",453.8158152,0.306084254,0.07886222,3.881253351,0.00010392,0.000877816,"yes","up",0.78859840827133,0.372787112893583,"tissue_specific","Flower","mature_pollen"
"AT1G03550",92.09195088,0.252598276,0.079714842,3.168773479,0.001530837,0.00812757,"yes","up",0.821492080465658,0.463775583689039,"tissue_specific","Flower","mature_pollen"
"AT1G03620",17.36890991,0.560388768,0.144143336,3.887718884,0.000101191,0.000858046,"yes","up",0.96420763278836,0.438262356592632,"tissue_specific","Flower","mature_pollen"
"AT1G03780",272.3226251,-0.995694661,0.255206348,-3.90152779,9.56e-05,0.000818186,"yes","down",0.797218795736292,0.718432739061075,"tissue_specific","Flower","inflorescence_apex"
"AT1G03950",150.8974859,0.446020059,0.092482328,4.822759856,1.42e-06,2.34e-05,"yes","up",0.635217511575585,0.37563853191635,"tissue_specific","Flower","sepal"
"AT1G04090",23.67561141,0.401063731,0.110447348,3.631266273,0.000282034,0.001995913,"yes","up",0.904410275060825,0.489722378412612,"tissue_specific","Flower","mature_pollen"
"AT1G04160",227.478256,-0.124123839,0.049348432,-2.515253981,0.011894666,0.042158016,"yes","down",0.960250808991294,0.61627396878812,"tissue_specific","Flower","mature_pollen"
"AT1G04500",4.335163315,0.589042805,0.220397539,2.672637855,0.007525745,0.029213707,"yes","up",0.953410526076406,0.651700815959423,"tissue_specific","Flower","mature_pollen"
"AT1G04540",34.38594492,-0.241654121,0.092585205,-2.610072753,0.009052297,0.033833803,"yes","down",0.994103787227446,0.963386592373212,"tissue_specific","Flower","mature_pollen"
"AT1G04600",17.43148049,0.428410128,0.120132578,3.566144474,0.000362272,0.002453269,"yes","up",0.958263016098992,0.655252405571745,"tissue_specific","Flower","mature_pollen"
"AT1G04760",42.68092732,-0.709343708,0.178051247,-3.983930012,6.78e-05,0.000617901,"yes","down",0.904245691619467,0.592217485318153,"tissue_specific","Flower","mature_pollen"
"AT1G04820",6283.479903,-0.156926443,0.054550912,-2.876696944,0.004018613,0.01770007,"yes","down",0.695251578757833,0.423113290707915,"tissue_specific","Flower","mature_pollen"
"AT1G04990",300.808704,0.439327782,0.07946894,5.528295489,3.23e-08,9.25e-07,"yes","up",0.65883064573726,0.272722109849595,"tissue_specific","Flower","mature_pollen"
"AT1G05120",337.1490882,0.271011027,0.046562796,5.820334031,5.87e-09,2.12e-07,"yes","up",0.699174261486483,0.223180576145186,"tissue_specific","Flower","mature_pollen"
"AT1G05210",106.1666249,-0.140546007,0.052715146,-2.6661409,0.007672753,0.029665377,"yes","down",0.621991250931915,0.481140390051331,"tissue_specific","Flower","inflorescence_apex"
"AT1G05380",604.6258586,0.104859048,0.037947687,2.763252696,0.005722844,0.023420938,"yes","up",0.81940603012911,0.250470003813649,"tissue_specific","Flower","mature_pollen"
"AT1G05440",43.64177725,-0.961672901,0.260464756,-3.692142139,0.000222373,0.001639901,"yes","down",0.720734454337116,0.647215944237457,"tissue_specific","Flower","inflorescence_apex"
"AT1G05560",797.6545228,0.461750944,0.087532358,5.275202824,1.33e-07,3.12e-06,"yes","up",0.921536586770385,0.437342079821821,"tissue_specific","Flower","sepal"
"AT1G05680",119.3106869,0.372295535,0.125474892,2.967091885,0.003006311,0.013997189,"yes","up",0.954444140264935,0.722870277297197,"tissue_specific","Flower","sepal"
"AT1G06260",4.664861754,-0.620792788,0.249841788,-2.484743617,0.012964477,0.045095412,"yes","down",0.941663258697594,0.912194011889684,"tissue_specific","Flower","flower_stage_10_11"
"AT1G06520",15.81329131,0.555483553,0.14450868,3.84394594,0.000121072,0.000996169,"yes","up",0.83839561318864,0.643196387712573,"tissue_specific","Flower","flower_stage_15"
"AT1G07160",14.04029991,1.089500083,0.24564139,4.43532778,9.19e-06,0.000114481,"yes","up",0.914594104804444,0.539744093135862,"tissue_specific","Flower","mature_pollen"
"AT1G07220",212.8227695,0.242478276,0.052585537,4.611121016,4.01e-06,5.68e-05,"yes","up",0.710008332811855,0.440458457243775,"tissue_specific","Flower","mature_pollen"
"AT1G07270",28.48925179,-0.278945223,0.110780536,-2.517998484,0.011802383,0.04188762,"yes","down",0.614545021101371,0.182713580420835,"tissue_specific","Flower","mature_pollen"
"AT1G07350",508.5892492,0.28794211,0.064913835,4.435758732,9.17e-06,0.000114425,"yes","up",0.74941524957441,0.467370411496996,"tissue_specific","Flower","petal"
"AT1G07390",74.04188117,0.251476809,0.078818012,3.190600777,0.001419773,0.007644658,"yes","up",0.635805563884261,0.326661243824328,"tissue_specific","Flower","sepal"
"AT1G07790",757.9593918,-0.717037445,0.093042263,-7.706577859,1.29e-14,1.82e-12,"yes","down",0.741508937741926,0.629729583582133,"tissue_specific","Flower","inflorescence_apex"
"AT1G07795",5.045750418,-0.580634524,0.199683835,-2.907769291,0.003640168,0.016322936,"yes","down",0.772308142474491,0.499980453401908,"tissue_specific","Flower","stamen"
"AT1G08130",688.0357406,0.185273548,0.063703094,2.908391695,0.00363293,0.016307405,"yes","up",0.632599892454579,0.437800964025797,"tissue_specific","Flower","mature_pollen"
"AT1G08270",91.18626412,1.792128366,0.252071564,7.109601482,1.16e-12,1.08e-10,"yes","up",0.80468474382012,0.468109235520654,"tissue_specific","Flower","mature_pollen"
"AT1G08560",502.9746908,-1.045224137,0.270735501,-3.8606837,0.00011307,0.000939846,"yes","down",0.699877850775303,0.542058303765743,"tissue_specific","Flower","inflorescence_apex"
"AT1G08600",583.5127847,0.139065711,0.05194805,2.677015032,0.00742813,0.028899705,"yes","up",0.784715295257733,0.342307115657317,"tissue_specific","Flower","mature_pollen"
"AT1G08860",4.524904063,0.824917492,0.255441124,3.229384054,0.001240572,0.006853527,"yes","up",0.955670923958969,0.72544629157211,"tissue_specific","Flower","mature_pollen"
"AT1G09070",1318.253493,1.00269989,0.19336727,5.185468519,2.15e-07,4.69e-06,"yes","up",0.675946280217435,0.451539193215443,"tissue_specific","Flower","mature_pollen"
"AT1G09080",19.78673847,1.73827303,0.332784442,5.223420367,1.76e-07,3.96e-06,"yes","up",0.90571857994794,0.51827024117989,"tissue_specific","Flower","sepal"
"AT1G09155",15.25320122,-0.325346995,0.117790978,-2.762070592,0.005743606,0.023477375,"yes","down",0.915919693434296,0.667628008307362,"tissue_specific","Flower","stamen"
"AT1G09180",24.4950123,2.139610756,0.30590932,6.994264689,2.67e-12,2.29e-10,"yes","up",0.65647198098181,0.32207976057165,"tissue_specific","Flower","mature_pollen"
"AT1G09200",1375.802781,-0.56068659,0.104407361,-5.370182582,7.87e-08,1.99e-06,"yes","down",0.700305413296331,0.534496784786449,"tissue_specific","Flower","inflorescence_apex"
"AT1G09340",15153.57054,-0.223808035,0.035861907,-6.24082919,4.35e-10,2.12e-08,"yes","down",0.688313685511833,0.602448951815003,"tissue_specific","Flower","pedicel"
"AT1G09410",31.13454085,0.363909015,0.107115761,3.39734331,0.000680435,0.004151114,"yes","up",0.814871783670529,0.661548256747513,"tissue_specific","Flower","petal"
"AT1G09600",51.07578113,-0.280505241,0.088146912,-3.182246948,0.001461372,0.007825133,"yes","down",0.973490668062116,0.821870478446956,"tissue_specific","Flower","mature_pollen"
"AT1G09930",4.748325663,0.953462331,0.256372458,3.71905133,0.000199972,0.001501736,"yes","up",0.922650957870473,0.669461537479331,"tissue_specific","Flower","mature_pollen"
"AT1G09940",350.3225748,0.370246648,0.134710563,2.748460392,0.005987587,0.024275445,"yes","up",0.924530111597676,0.195115817966671,"tissue_specific","Flower","mature_pollen"
"AT1G10020",349.8842703,-0.339473604,0.126307008,-2.687686216,0.007194897,0.028197059,"yes","down",0.602791313375505,0.362765319922974,"tissue_specific","Flower","petal"
"AT1G10170",832.3631497,0.25573556,0.052374255,4.882848646,1.05e-06,1.8e-05,"yes","up",0.694110430752355,0.125223134349,"tissue_specific","Flower","mature_pollen"
"AT1G10585",4.744385573,0.83254479,0.227272051,3.663207979,0.000249076,0.001805496,"yes","up",0.901860014273755,0.596627423718239,"tissue_specific","Flower","sepal"
