"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01110",56.7658119,-0.257627733,0.105014541,-2.453257714,0.014156887,0.048380936,"yes","down",0.745730923410608,0.779158573715198,"tissue_specific","Flower","inflorescence_apex"
"AT1G01370",70.51080321,-0.487607451,0.096406866,-5.057808368,4.24e-07,8.4e-06,"yes","down",0.761012155145832,0.653842045293593,"tissue_specific","Flower","inflorescence_apex"
"AT1G02730",1039.881828,-1.0626433,0.26272376,-4.044717161,5.24e-05,0.000497147,"yes","down",0.753227621150122,0.606454184937292,"tissue_specific","Flower","inflorescence_apex"
"AT1G03780",272.3226251,-0.995694661,0.255206348,-3.90152779,9.56e-05,0.000818186,"yes","down",0.797218795736292,0.718432739061075,"tissue_specific","Flower","inflorescence_apex"
"AT1G05210",106.1666249,-0.140546007,0.052715146,-2.6661409,0.007672753,0.029665377,"yes","down",0.621991250931915,0.481140390051331,"tissue_specific","Flower","inflorescence_apex"
"AT1G05440",43.64177725,-0.961672901,0.260464756,-3.692142139,0.000222373,0.001639901,"yes","down",0.720734454337116,0.647215944237457,"tissue_specific","Flower","inflorescence_apex"
"AT1G07790",757.9593918,-0.717037445,0.093042263,-7.706577859,1.29e-14,1.82e-12,"yes","down",0.741508937741926,0.629729583582133,"tissue_specific","Flower","inflorescence_apex"
"AT1G08560",502.9746908,-1.045224137,0.270735501,-3.8606837,0.00011307,0.000939846,"yes","down",0.699877850775303,0.542058303765743,"tissue_specific","Flower","inflorescence_apex"
"AT1G09200",1375.802781,-0.56068659,0.104407361,-5.370182582,7.87e-08,1.99e-06,"yes","down",0.700305413296331,0.534496784786449,"tissue_specific","Flower","inflorescence_apex"
"AT1G11220",45.43336223,-0.901249191,0.208040111,-4.332093397,1.48e-05,0.000172105,"yes","down",0.738318669974744,0.563412824509411,"tissue_specific","Flower","inflorescence_apex"
