"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01560",14.31331391,2.805848032,0.315686297,8.888089392,6.22e-19,1.9e-16,"yes","up",0.744834553176797,0.416566536593982,"tissue_specific","Flower","sepal"
"AT1G02390",24.29507966,0.775657283,0.224543255,3.454378017,0.000551564,0.003484859,"yes","up",0.752660617338808,0.676891891294604,"tissue_specific","Flower","sepal"
"AT1G03950",150.8974859,0.446020059,0.092482328,4.822759856,1.42e-06,2.34e-05,"yes","up",0.635217511575585,0.37563853191635,"tissue_specific","Flower","sepal"
"AT1G05560",797.6545228,0.461750944,0.087532358,5.275202824,1.33e-07,3.12e-06,"yes","up",0.921536586770385,0.437342079821821,"tissue_specific","Flower","sepal"
"AT1G05680",119.3106869,0.372295535,0.125474892,2.967091885,0.003006311,0.013997189,"yes","up",0.954444140264935,0.722870277297197,"tissue_specific","Flower","sepal"
"AT1G07390",74.04188117,0.251476809,0.078818012,3.190600777,0.001419773,0.007644658,"yes","up",0.635805563884261,0.326661243824328,"tissue_specific","Flower","sepal"
"AT1G09080",19.78673847,1.73827303,0.332784442,5.223420367,1.76e-07,3.96e-06,"yes","up",0.90571857994794,0.51827024117989,"tissue_specific","Flower","sepal"
"AT1G10585",4.744385573,0.83254479,0.227272051,3.663207979,0.000249076,0.001805496,"yes","up",0.901860014273755,0.596627423718239,"tissue_specific","Flower","sepal"
"AT1G14130",130.8715207,0.41493644,0.078771652,5.267585861,1.38e-07,3.23e-06,"yes","up",0.772979278726564,0.559492495318308,"tissue_specific","Flower","sepal"
"AT1G17420",190.9517015,0.72812434,0.160049847,4.549359789,5.38e-06,7.32e-05,"yes","up",0.839947907314919,0.55006250085632,"tissue_specific","Flower","sepal"
"AT1G19020",128.2215997,1.901148497,0.261175422,7.279201388,3.36e-13,3.44e-11,"yes","up",0.810686909783021,0.590833543600585,"tissue_specific","Flower","sepal"
"AT1G21550",11.17600277,0.695367634,0.167844282,4.142933117,3.43e-05,0.000347955,"yes","up",0.892416947550588,0.604655253313659,"tissue_specific","Flower","sepal"
"AT1G28480",21.84032651,1.129186189,0.178243323,6.335082682,2.37e-10,1.24e-08,"yes","up",0.827835930683896,0.602022529970122,"tissue_specific","Flower","sepal"
"AT1G30040",95.313714,0.681489234,0.182985544,3.724279079,0.000195874,0.001476132,"yes","up",0.892425295375279,0.807214727712658,"tissue_specific","Flower","sepal"
"AT1G30410",511.1206995,0.214612494,0.057488616,3.733130282,0.000189115,0.001433441,"yes","up",0.738563640067678,0.367229415042026,"tissue_specific","Flower","sepal"
"AT1G32940",144.6417733,0.427282841,0.092976496,4.595600602,4.32e-06,6.04e-05,"yes","up",0.883529581002594,0.612253585296799,"tissue_specific","Flower","sepal"
"AT1G33560",268.9705347,0.756378985,0.099588808,7.595019995,3.08e-14,3.88e-12,"yes","up",0.684529708577399,0.204724122977373,"tissue_specific","Flower","sepal"
"AT1G33960",62.8700031,2.591821422,0.381641547,6.791245456,1.11e-11,8.09e-10,"yes","up",0.896207683732815,0.530524249382266,"tissue_specific","Flower","sepal"
"AT1G35230",33.0711732,2.24472354,0.227435446,9.86971724,5.63e-23,3.49e-20,"yes","up",0.875718057693848,0.498286148960078,"tissue_specific","Flower","sepal"
"AT1G51760",502.7833655,0.400812727,0.079572553,5.03707262,4.73e-07,9.24e-06,"yes","up",0.721610763121336,0.208847464027119,"tissue_specific","Flower","sepal"
"AT1G56060",8.342130773,2.297238507,0.367197539,6.256138084,3.95e-10,1.94e-08,"yes","up",0.814647009367759,0.486535482682827,"tissue_specific","Flower","sepal"
"AT1G57650",2.012210106,1.555041296,0.354965842,4.380819536,1.18e-05,0.000141838,"yes","up",0.85622790147614,0.505798196508377,"tissue_specific","Flower","sepal"
"AT1G60500",13.81880432,3.761481836,0.411798392,9.134280042,6.58e-20,2.59e-17,"yes","up",0.61940876067004,0.329124966979705,"tissue_specific","Flower","sepal"
"AT1G60730",488.6789379,0.581066003,0.073843618,7.868872372,3.58e-15,5.63e-13,"yes","up",0.889500012562875,0.657585307759003,"tissue_specific","Flower","sepal"
"AT1G61120",2.431345114,1.625965678,0.402090341,4.043781987,5.26e-05,0.000498729,"yes","up",0.922397589223445,0.679461411419844,"tissue_specific","Flower","sepal"
"AT1G61610",5.904352198,0.60240426,0.199678076,3.016877321,0.002553931,0.012220513,"yes","up",0.852651821766111,0.622476670284465,"tissue_specific","Flower","sepal"
"AT1G62300",478.011052,0.494145257,0.083126631,5.944487961,2.77e-09,1.07e-07,"yes","up",0.79529657547756,0.73347531247638,"tissue_specific","Flower","sepal"
"AT1G63530",75.45665448,0.982034536,0.151911397,6.464521783,1.02e-10,5.84e-09,"yes","up",0.742269778094311,0.524729332433049,"tissue_specific","Flower","sepal"
"AT1G65500",26.14441056,1.313332767,0.262148824,5.00987473,5.45e-07,1.04e-05,"yes","up",0.845433054524692,0.68309099494553,"tissue_specific","Flower","sepal"
"AT1G69730",181.1011612,0.511775067,0.140613854,3.639577844,0.000273085,0.001940157,"yes","up",0.760840726963582,0.576227251568517,"tissue_specific","Flower","sepal"
"AT1G70530",370.180661,0.557872624,0.093753873,5.950395528,2.67e-09,1.04e-07,"yes","up",0.609503555477063,0.329558263200154,"tissue_specific","Flower","sepal"
"AT1G71040",501.0074782,0.42028758,0.083795348,5.015643337,5.29e-07,1.02e-05,"yes","up",0.734371996215197,0.475865802887417,"tissue_specific","Flower","sepal"
"AT1G71100",284.2390738,0.270135531,0.044537651,6.065329563,1.32e-09,5.58e-08,"yes","up",0.731820154655933,0.296200052177247,"tissue_specific","Flower","sepal"
"AT1G72910",108.9265611,1.617280836,0.30070606,5.37827817,7.52e-08,1.91e-06,"yes","up",0.732162412650426,0.661275547986846,"tissue_specific","Flower","sepal"
"AT1G74810",22.03221486,0.669223568,0.182633262,3.664302768,0.000248013,0.001798344,"yes","up",0.788006636237482,0.261660449439204,"tissue_specific","Flower","sepal"
"AT2G02390",599.3050741,0.198506011,0.045130602,4.39847917,1.09e-05,0.000132803,"yes","up",0.811016464315182,0.623870570745907,"tissue_specific","Flower","sepal"
"AT2G03760",245.8064718,0.360179065,0.090620441,3.974589626,7.05e-05,0.000637237,"yes","up",0.876505580959873,0.470848429033255,"tissue_specific","Flower","sepal"
"AT2G07671",47.97541787,0.248390719,0.095107227,2.611691335,0.009009556,0.033711469,"yes","up",0.658190404550767,0.431812347802459,"tissue_specific","Flower","sepal"
"AT2G16700",229.1569236,0.188560302,0.072417354,2.60379994,0.009219656,0.034355824,"yes","up",0.605065981386582,0.27519677771452,"tissue_specific","Flower","sepal"
"AT2G18660",35.68504224,3.621076047,0.42423035,8.53563648,1.39e-17,3.5e-15,"yes","up",0.925026309837149,0.56560258107803,"tissue_specific","Flower","sepal"
"AT2G19190",17.88308879,0.701887932,0.282072844,2.488321539,0.012834763,0.044736637,"yes","up",0.84601818898036,0.762869743626067,"tissue_specific","Flower","sepal"
"AT2G21640",113.9743781,1.796636164,0.221031144,8.128429934,4.35e-16,8.2e-14,"yes","up",0.846521481105808,0.330461505354658,"tissue_specific","Flower","sepal"
"AT2G23150",323.3056324,1.104950945,0.17023745,6.490645548,8.55e-11,5.04e-09,"yes","up",0.742617413659391,0.451171756567272,"tissue_specific","Flower","sepal"
"AT2G23420",468.1813136,0.195451568,0.076148965,2.566700257,0.010267132,0.037442312,"yes","up",0.620102721648421,0.444616457352578,"tissue_specific","Flower","sepal"
"AT2G23450",388.9717106,0.255007546,0.086962734,2.932377292,0.003363778,0.015340364,"yes","up",0.719549732793348,0.130223327593776,"tissue_specific","Flower","sepal"
"AT2G26740",516.7337476,0.287338982,0.054727181,5.250388901,1.52e-07,3.51e-06,"yes","up",0.695393874193302,0.491784136578033,"tissue_specific","Flower","sepal"
