"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01070",105.277176,-0.260076634,0.088592549,-2.935649063,0.003328506,0.015216656,"yes","down",0.808140703299482,0.439065526031619,"tissue_specific","Flower","stamen"
"AT1G07795",5.045750418,-0.580634524,0.199683835,-2.907769291,0.003640168,0.016322936,"yes","down",0.772308142474491,0.499980453401908,"tissue_specific","Flower","stamen"
"AT1G09155",15.25320122,-0.325346995,0.117790978,-2.762070592,0.005743606,0.023477375,"yes","down",0.915919693434296,0.667628008307362,"tissue_specific","Flower","stamen"
"AT1G21010",111.0945403,0.286584412,0.107267695,2.67167494,0.007547372,0.029254662,"yes","up",0.856272916132275,0.490086158484587,"tissue_specific","Flower","stamen"
"AT1G26920",334.8957314,-0.270358373,0.087778052,-3.080022489,0.00206985,0.010337408,"yes","down",0.749083320058135,0.320182007950642,"tissue_specific","Flower","stamen"
"AT1G28130",480.2875651,-0.345524622,0.069600968,-4.964365146,6.89e-07,1.28e-05,"yes","down",0.875417430928414,0.875265987432483,"tissue_specific","Flower","stamen"
"AT1G35910",22.46485227,0.898283273,0.213895852,4.199629224,2.67e-05,0.000282741,"yes","up",0.830392205399115,0.648281247510522,"tissue_specific","Flower","stamen"
"AT1G44100",526.5335985,0.289569602,0.074730056,3.874874658,0.00010668,0.000898128,"yes","up",0.78909413324045,0.2197618116307,"tissue_specific","Flower","stamen"
"AT1G47870",200.0855059,0.294298888,0.067082228,4.387136439,1.15e-05,0.000138558,"yes","up",0.669898523169612,0.423998866794098,"tissue_specific","Flower","stamen"
"AT1G52890",4.410157563,0.667224381,0.221635696,3.010455413,0.002608562,0.012457788,"yes","up",0.780494745244001,0.715191274380965,"tissue_specific","Flower","stamen"
"AT1G53700",28.92336536,-0.346445736,0.103805421,-3.337453229,0.0008455,0.004969075,"yes","down",0.805831106503461,0.454513920864376,"tissue_specific","Flower","stamen"
"AT1G61130",8.862489404,-0.492056345,0.187393583,-2.6257908,0.008644793,0.032657645,"yes","down",0.933861446487063,0.746828900201389,"tissue_specific","Flower","stamen"
"AT1G68290",7.13804357,1.158631092,0.288350344,4.018136665,5.87e-05,0.000548294,"yes","up",0.895693992225259,0.586085576319271,"tissue_specific","Flower","stamen"
"AT1G68690",138.6160031,0.499174315,0.105598293,4.727105892,2.28e-06,3.52e-05,"yes","up",0.664110479507969,0.47188238015069,"tissue_specific","Flower","stamen"
"AT1G68710",294.6427898,-0.116338754,0.039596348,-2.938118256,0.00330211,0.015129378,"yes","down",0.71055325816925,0.483921486258093,"tissue_specific","Flower","stamen"
"AT1G71880",2207.806485,0.395879415,0.05564028,7.114978839,1.12e-12,1.05e-10,"yes","up",0.862871004836388,0.492603073369617,"tissue_specific","Flower","stamen"
"AT1G74300",73.43077615,0.271272571,0.078163702,3.470569625,0.000519356,0.003314232,"yes","up",0.889784531962859,0.302363241843417,"tissue_specific","Flower","stamen"
"AT1G75450",55.12141304,0.287663229,0.082541777,3.485062241,0.000492023,0.003177657,"yes","up",0.708162612098125,0.537595366226305,"tissue_specific","Flower","stamen"
"AT1G76240",170.832036,-0.275713625,0.088568261,-3.113007097,0.001851916,0.009443047,"yes","down",0.889416704000405,0.607743542566704,"tissue_specific","Flower","stamen"
"AT1G78110",157.4479444,0.875458094,0.117020785,7.481218776,7.36e-14,8.68e-12,"yes","up",0.751287374369628,0.300842475020264,"tissue_specific","Flower","stamen"
"AT1G78530",46.50922295,-0.306564966,0.086433334,-3.546837225,0.000389885,0.002613984,"yes","down",0.640924978877526,0.183183572899856,"tissue_specific","Flower","stamen"
"AT2G01940",83.31406795,-0.22631481,0.071195082,-3.178798372,0.001478869,0.007894775,"yes","down",0.642015368587777,0.281106692091143,"tissue_specific","Flower","stamen"
"AT2G16750",159.7008869,-0.186301632,0.057163344,-3.259110113,0.001117623,0.006274285,"yes","down",0.934665123187392,0.652328000053414,"tissue_specific","Flower","stamen"
"AT2G20900",366.4785458,0.226230876,0.048647438,4.650417102,3.31e-06,4.83e-05,"yes","up",0.66924751867775,0.333751294880634,"tissue_specific","Flower","stamen"
"AT2G23970",5.883394835,-0.467523587,0.185666596,-2.518081318,0.011799608,0.04188718,"yes","down",0.845237675933244,0.513688416663617,"tissue_specific","Flower","stamen"
"AT2G28200",152.8592165,-0.219971513,0.087718155,-2.50770793,0.012151706,0.042811564,"yes","down",0.715733352938055,0.485089069440232,"tissue_specific","Flower","stamen"
"AT2G39725",38.97332261,0.299622101,0.076837124,3.899444493,9.64e-05,0.000824359,"yes","up",0.652389068058083,0.393890804367779,"tissue_specific","Flower","stamen"
"AT3G01350",93.55058227,0.542991126,0.104213377,5.210378362,1.88e-07,4.2e-06,"yes","up",0.880569200827384,0.420480536600113,"tissue_specific","Flower","stamen"
"AT3G05170",83.53778818,0.345438223,0.078588076,4.395555176,1.1e-05,0.000134049,"yes","up",0.662674815760948,0.47197819796779,"tissue_specific","Flower","stamen"
"AT3G10320",53.51068036,0.297639457,0.082440734,3.610344598,0.00030579,0.002135189,"yes","up",0.878758952984361,0.626514903137085,"tissue_specific","Flower","stamen"
"AT3G11430",104.4880707,0.308223036,0.107093651,2.878070123,0.004001162,0.017639684,"yes","up",0.956201668397707,0.584541704706129,"tissue_specific","Flower","stamen"
"AT3G14560",124.2191177,0.957684895,0.150136464,6.378762824,1.79e-10,9.67e-09,"yes","up",0.847586040575869,0.625994526491701,"tissue_specific","Flower","stamen"
"AT3G22910",55.15346293,2.857108673,0.289554594,9.867253815,5.77e-23,3.49e-20,"yes","up",0.973550380273896,0.839394468313952,"tissue_specific","Flower","stamen"
"AT3G25290",172.0131003,-0.204534924,0.07890734,-2.592089957,0.009539482,0.03528936,"yes","down",0.672038910039956,0.748577989249833,"tissue_specific","Flower","stamen"
"AT3G42850",7.908991054,1.004379784,0.265740166,3.779555795,0.000157108,0.001234917,"yes","up",0.927381172694992,0.834916480424952,"tissue_specific","Flower","stamen"
"AT3G51130",385.0792096,0.135740151,0.053138758,2.554447167,0.010635657,0.038494448,"yes","up",0.633540545562104,0.321446223200295,"tissue_specific","Flower","stamen"
"AT3G57330",1202.299671,0.444036997,0.077422455,5.735248194,9.74e-09,3.26e-07,"yes","up",0.625279168309284,0.360107701114945,"tissue_specific","Flower","stamen"
"AT4G10510",39.90508114,0.692289754,0.12407049,5.57980993,2.41e-08,7.16e-07,"yes","up",0.866520852481657,0.87566607790066,"tissue_specific","Flower","stamen"
"AT4G21490",5.650604295,-0.783109656,0.280865175,-2.788204895,0.005300101,0.022055554,"yes","down",0.889941471776235,0.561229155218787,"tissue_specific","Flower","stamen"
"AT4G22790",54.37918634,0.286975786,0.09726613,2.950418482,0.003173438,0.014628649,"yes","up",0.697538986747122,0.636801242871433,"tissue_specific","Flower","stamen"
"AT4G22960",190.1908796,4.922112349,0.40858682,12.04667431,2.02e-33,6.8e-30,"yes","up",0.880951178406033,0.65437368088583,"tissue_specific","Flower","stamen"
"AT4G23030",11.5812222,0.626658457,0.213465192,2.935647034,0.003328528,0.015216656,"yes","up",0.765707777740555,0.341597898675771,"tissue_specific","Flower","stamen"
"AT4G24380",143.3843145,0.990923819,0.13792496,7.184514076,6.74e-13,6.6e-11,"yes","up",0.908442757987144,0.58895186309002,"tissue_specific","Flower","stamen"
"AT4G25420",24.07287107,-0.475171705,0.19176937,-2.477828994,0.013218448,0.045813241,"yes","down",0.806661927186991,0.345305440504609,"tissue_specific","Flower","stamen"
"AT4G26830",29.93964823,-0.263844816,0.103488519,-2.549508088,0.010787501,0.038954313,"yes","down",0.871721894948644,0.640175845011631,"tissue_specific","Flower","stamen"
"AT4G29010",1550.304523,0.122087216,0.041523909,2.94016673,0.003280357,0.015044329,"yes","up",0.67654386496199,0.257970759471493,"tissue_specific","Flower","stamen"
"AT4G30290",212.9815776,-0.238344874,0.082919425,-2.874415418,0.004047762,0.017805166,"yes","down",0.932264087111385,0.862416024017849,"tissue_specific","Flower","stamen"
"AT4G32180",728.0510184,0.116898793,0.038285396,3.05335205,0.002263003,0.011090596,"yes","up",0.65224485210127,0.222500068876479,"tissue_specific","Flower","stamen"
"AT4G32890",84.37351425,-0.239833527,0.066149759,-3.625614533,0.000288275,0.002033366,"yes","down",0.848817721847651,0.418019647896149,"tissue_specific","Flower","stamen"
"AT4G34131",508.155869,0.289293535,0.076740706,3.769753362,0.000163409,0.001272981,"yes","up",0.89394342309086,0.754516258063792,"tissue_specific","Flower","stamen"
"AT4G34510",89.40943672,2.112211684,0.307156877,6.876654379,6.13e-12,4.81e-10,"yes","up",0.93776817222051,0.8465061434648,"tissue_specific","Flower","stamen"
"AT4G36740",11.5586492,-0.581013899,0.143765829,-4.041390815,5.31e-05,0.000503034,"yes","down",0.859471212880653,0.787347252198387,"tissue_specific","Flower","stamen"
"AT4G40010",79.2339511,-0.473822069,0.101525914,-4.667006184,3.06e-06,4.51e-05,"yes","down",0.845652703592029,0.581628418088934,"tissue_specific","Flower","stamen"
