"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02120",706.6702215,0.148751857,0.037850768,3.929956154,8.5e-05,0.00074127,"yes","up",0.628801033352269,0.194818247875456,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G02150",1790.719941,-0.124965422,0.03419524,-3.654468402,0.000257715,0.001856701,"yes","down",0.611641885257033,0.370369168180239,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G02560",3951.805356,-0.057143316,0.021038642,-2.71611238,0.006605349,0.026248803,"yes","down",0.630846509837827,0.456781813909861,"tissue_specific","Leaf_Shoot","cauline_leaf"
"AT1G02690",387.0726923,-0.429195392,0.111111945,-3.862729521,0.000112127,0.000935957,"yes","down",0.754383333656006,0.500892546455779,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G02920",503.6746731,1.945008267,0.204826733,9.495871184,2.18e-21,1.03e-18,"yes","up",0.749948622536459,0.56811789453635,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G02970",104.2686019,0.549880069,0.128678969,4.273270698,1.93e-05,0.000214188,"yes","up",0.654007869442729,0.325280579849465,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G03080",1357.118889,0.13462787,0.036317223,3.706997918,0.000209731,0.001565128,"yes","up",0.657166206753189,0.366802891446659,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G03130",6431.284982,-0.300470242,0.102243911,-2.938759283,0.003295289,0.015106933,"yes","down",0.686985764610407,0.609504047408062,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G03290",321.7002572,0.266795228,0.065852384,4.051413373,5.09e-05,0.00048547,"yes","up",0.738850233673362,0.338144302888736,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G03475",3708.367714,-0.123088344,0.034092571,-3.610415391,0.000305707,0.002135189,"yes","down",0.642906018090166,0.551644402608523,"tissue_specific","Leaf_Shoot","shoot_apex_vegetative_with_leaves"
"AT1G03630",3058.422306,-0.166093415,0.065944223,-2.518695458,0.011779049,0.041835265,"yes","down",0.703735899751405,0.596420505728717,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G03740",496.3455342,0.38231338,0.112106672,3.41026428,0.000649,0.00399442,"yes","up",0.765620455986685,0.460117949228963,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G03830",283.9510848,0.306577986,0.054634979,5.611386567,2.01e-08,6.12e-07,"yes","up",0.664532742183255,0.411116547655022,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G03870",2644.166027,-0.337603615,0.125431473,-2.691538317,0.007112333,0.027910608,"yes","down",0.764507377167399,0.606907468835604,"tissue_specific","Leaf_Shoot","rosette_leaf"
"AT1G04020",242.4443223,-0.29641054,0.090574282,-3.272568485,0.00106575,0.006043526,"yes","down",0.66577735448444,0.434442666461758,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G04110",126.2285525,-0.341625213,0.11265584,-3.032467861,0.002425629,0.011721886,"yes","down",0.82089584044713,0.531972997549391,"tissue_specific","Leaf_Shoot","rosette_vegetative"
"AT1G04420",1799.184424,-0.126623686,0.033838513,-3.74199908,0.000182562,0.001394084,"yes","down",0.667807105039438,0.57848544243936,"tissue_specific","Leaf_Shoot","cotyledon"
"AT1G04650",102.179502,0.781359711,0.138099728,5.657938087,1.53e-08,4.87e-07,"yes","up",0.60518248765619,0.284871936295885,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G04730",118.5171564,-0.214151534,0.074529739,-2.87337023,0.004061179,0.017850861,"yes","down",0.647084774507056,0.410666886767772,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G04780",681.7711253,0.160443483,0.052672352,3.046066446,0.002318566,0.01131585,"yes","up",0.61263975430984,0.111021848340787,"tissue_specific","Leaf_Shoot","senescing_leaf"
