"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02120",706.6702215,0.148751857,0.037850768,3.929956154,8.5e-05,0.00074127,"yes","up",0.628801033352269,0.194818247875456,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G02920",503.6746731,1.945008267,0.204826733,9.495871184,2.18e-21,1.03e-18,"yes","up",0.749948622536459,0.56811789453635,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G03080",1357.118889,0.13462787,0.036317223,3.706997918,0.000209731,0.001565128,"yes","up",0.657166206753189,0.366802891446659,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G03290",321.7002572,0.266795228,0.065852384,4.051413373,5.09e-05,0.00048547,"yes","up",0.738850233673362,0.338144302888736,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G03740",496.3455342,0.38231338,0.112106672,3.41026428,0.000649,0.00399442,"yes","up",0.765620455986685,0.460117949228963,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G04780",681.7711253,0.160443483,0.052672352,3.046066446,0.002318566,0.01131585,"yes","up",0.61263975430984,0.111021848340787,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G04970",357.976891,0.137796191,0.046184617,2.983594948,0.002848836,0.013396293,"yes","up",0.632750608719102,0.221544439326616,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G05060",138.4762313,0.48006374,0.063115345,7.606133534,2.82e-14,3.6e-12,"yes","up",0.657040036052389,0.206337693910779,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G05880",4.324764988,1.945844312,0.337904715,5.75855922,8.48e-09,2.91e-07,"yes","up",0.629780270023418,0.404379266237417,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G06870",345.382516,0.113655059,0.041950825,2.709244926,0.006743654,0.026730813,"yes","up",0.68304861275436,0.422830821514474,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G07000",188.4240711,0.902919801,0.170417568,5.298278877,1.17e-07,2.81e-06,"yes","up",0.864949741603035,0.495690316165911,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G07630",312.3720753,0.24679923,0.058424835,4.224217813,2.4e-05,0.000258443,"yes","up",0.634029064626598,0.325947626865823,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G07650",519.9706925,0.310418656,0.066062653,4.698852428,2.62e-06,3.94e-05,"yes","up",0.642997644821535,0.397910542869745,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G08230",119.2544791,0.308231914,0.084511403,3.647222764,0.00026509,0.00189535,"yes","up",0.869819020222836,0.407152005169022,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G08450",648.0758237,0.348608007,0.082809352,4.209766139,2.56e-05,0.000273044,"yes","up",0.805065575216139,0.520600494778418,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G10050",340.5833342,1.019447712,0.135628912,7.516448325,5.63e-14,6.77e-12,"yes","up",0.822439630582972,0.731600561311702,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G10210",65.98938771,0.208775847,0.079543743,2.624667106,0.008673372,0.032724351,"yes","up",0.746660586546126,0.418150478289075,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G10340",36.65506728,1.550701512,0.247827972,6.25716904,3.92e-10,1.93e-08,"yes","up",0.854537328102455,0.553716915964973,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G10730",89.47807993,0.254399755,0.070985429,3.583830651,0.000338592,0.002322162,"yes","up",0.610390306712222,0.344390447870198,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G11210",59.10351842,0.381109908,0.106468354,3.579560444,0.000344173,0.002354547,"yes","up",0.860887393615185,0.571009595609427,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G11310",1364.128854,0.354387928,0.073470078,4.823568126,1.41e-06,2.33e-05,"yes","up",0.747935774014612,0.434872117131559,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G12290",49.76989838,0.226509871,0.071979347,3.146873086,0.001650266,0.00861229,"yes","up",0.819702703727466,0.692631666677711,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G12940",2.480472945,0.868993146,0.318533019,2.728110102,0.006369834,0.025463134,"yes","up",0.917697328299795,0.357968295806546,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G13210",577.5668182,0.750587225,0.172257752,4.357349487,1.32e-05,0.000155477,"yes","up",0.78788628195105,0.510752639450655,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G13310",4.408971566,1.825038617,0.355352318,5.135856799,2.81e-07,5.88e-06,"yes","up",0.91111655539444,0.428551846638119,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G13340",49.58033442,0.869143671,0.120761045,7.197218843,6.15e-13,6.06e-11,"yes","up",0.85396632549953,0.473888839461924,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G13470",42.98512365,2.33192145,0.416936172,5.592993862,2.23e-08,6.72e-07,"yes","up",0.931363122478487,0.715862344488634,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G13990",135.78378,0.514564926,0.099905707,5.150505846,2.6e-07,5.49e-06,"yes","up",0.778735336045312,0.259804747523515,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G14370",159.1962597,0.818976937,0.130349436,6.282934249,3.32e-10,1.66e-08,"yes","up",0.882025807882003,0.495339439358811,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G14790",80.54239442,0.623955516,0.111017223,5.62034882,1.91e-08,5.83e-07,"yes","up",0.616100549816461,0.377503621873413,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G14870",898.4412235,0.540854997,0.130267755,4.151871622,3.3e-05,0.000337103,"yes","up",0.814638451443357,0.699227504550881,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G15520",43.60621462,0.770534166,0.199026634,3.871512822,0.000108162,0.000908337,"yes","up",0.77389171709046,0.45235249597467,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G15790",20.76936208,1.179313099,0.180134303,6.546854643,5.88e-11,3.64e-09,"yes","up",0.839862305612122,0.364100533934933,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G15890",33.72281535,0.461681434,0.178336368,2.588823795,0.009630436,0.035539676,"yes","up",0.794983615017132,0.441985316518654,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G16670",119.0214123,0.475037027,0.076885152,6.178527512,6.47e-10,2.99e-08,"yes","up",0.721814106565393,0.37000587793066,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G17020",57.76908012,0.234822774,0.08338608,2.816090826,0.004861192,0.020636212,"yes","up",0.899528407174728,0.726680663407596,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G18890",411.3159223,0.367525803,0.070579731,5.207242913,1.92e-07,4.25e-06,"yes","up",0.693471235246626,0.355205194251066,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G19250",14.62957908,3.176726297,0.406944082,7.806296835,5.89e-15,8.79e-13,"yes","up",0.883254751845632,0.796110303057624,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G21240",5.343409135,2.511015283,0.431488511,5.819425596,5.91e-09,2.12e-07,"yes","up",0.937137200019675,0.689169933128076,"tissue_specific","Leaf_Shoot","senescing_leaf"
"AT1G21270",386.0623005,0.924517671,0.149910427,6.167133862,6.95e-10,3.18e-08,"yes","up",0.772559414419822,0.742632050115026,"tissue_specific","Leaf_Shoot","senescing_leaf"
