"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02690",387.0726923,-0.429195392,0.111111945,-3.862729521,0.000112127,0.000935957,"yes","down",0.754383333656006,0.500892546455779,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G02970",104.2686019,0.549880069,0.128678969,4.273270698,1.93e-05,0.000214188,"yes","up",0.654007869442729,0.325280579849465,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G03830",283.9510848,0.306577986,0.054634979,5.611386567,2.01e-08,6.12e-07,"yes","up",0.664532742183255,0.411116547655022,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G04020",242.4443223,-0.29641054,0.090574282,-3.272568485,0.00106575,0.006043526,"yes","down",0.66577735448444,0.434442666461758,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G04650",102.179502,0.781359711,0.138099728,5.657938087,1.53e-08,4.87e-07,"yes","up",0.60518248765619,0.284871936295885,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G04730",118.5171564,-0.214151534,0.074529739,-2.87337023,0.004061179,0.017850861,"yes","down",0.647084774507056,0.410666886767772,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G05470",189.2967624,-0.33039727,0.066453496,-4.971856897,6.63e-07,1.24e-05,"yes","down",0.666435464316344,0.390395687551821,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G07370",392.3093424,-0.307082625,0.093772189,-3.274772919,0.001057469,0.006003788,"yes","down",0.79540624020551,0.57531102756386,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G07660",261.3146497,-0.196113667,0.060558894,-3.238395759,0.001202039,0.006671927,"yes","down",0.672013489384944,0.407950172243868,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G08880",972.8852406,-0.363858272,0.061079684,-5.95710792,2.57e-09,1.01e-07,"yes","down",0.650953515458364,0.298281797232237,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G09450",64.53329174,-0.322726968,0.110973163,-2.90815329,0.003635701,0.016314236,"yes","down",0.747877133294815,0.600697216356341,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G10120",263.9794268,-0.123992105,0.045419727,-2.729917449,0.006335019,0.025365954,"yes","down",0.603260056045044,0.398422362768246,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G10230",101.0447142,-0.234844259,0.06358128,-3.693606976,0.000221095,0.001632795,"yes","down",0.660550335125559,0.585526351984863,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G10640",113.1970349,-0.474447128,0.169817187,-2.793869905,0.005208143,0.021756432,"yes","down",0.682717250333905,0.743110178709136,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G10780",132.9589075,-0.523659547,0.150034759,-3.490254866,0.00048256,0.003128168,"yes","down",0.721706937422451,0.513601118343759,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G10850",503.4154767,-0.193194882,0.053656872,-3.600561794,0.00031753,0.002204755,"yes","down",0.616876438277701,0.602698709003984,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G11160",82.76824213,-0.347545866,0.075420698,-4.608096685,4.06e-06,5.74e-05,"yes","down",0.623465950103722,0.369056914461818,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G11300",50.96149574,0.219974838,0.082074197,2.680194829,0.007357932,0.02867866,"yes","up",0.742008790602626,0.563293286927743,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G11820",860.9697081,-0.189015484,0.060078324,-3.146151097,0.001654345,0.008624033,"yes","down",0.696187018736453,0.348483556734646,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G12270",926.7509907,-0.110076477,0.039728719,-2.770702907,0.005593544,0.022999582,"yes","down",0.610295474132345,0.335219511901822,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G14180",110.4387051,-0.244426342,0.063790932,-3.831678517,0.000127272,0.001037407,"yes","down",0.701767047852311,0.65842329468028,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G14440",217.7022422,-0.391490245,0.084068436,-4.656804185,3.21e-06,4.71e-05,"yes","down",0.771571243551018,0.746092607705552,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G14620",354.6484752,-0.093496257,0.032943718,-2.838060239,0.004538862,0.019528389,"yes","down",0.696761873022919,0.452510208899018,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G14687",28.77630668,-0.204070342,0.081731076,-2.496851289,0.012530149,0.043904565,"yes","down",0.80713852966483,0.649640502775148,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G15570",223.2369172,-0.305780869,0.107787038,-2.836898329,0.004555412,0.019586533,"yes","down",0.645848980798818,0.458811694878694,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G16220",101.0869676,0.251349291,0.08372375,3.002126547,0.002681007,0.01274695,"yes","up",0.659694065838348,0.373866611655525,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G17140",528.9041338,-0.328287108,0.088121135,-3.725407157,0.000195,0.001470957,"yes","down",0.621055835215555,0.707722871275148,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G17480",56.92558232,-0.481476826,0.14547313,-3.309730293,0.000933859,0.0054035,"yes","down",0.66204331787712,0.417768414137939,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G18140",81.90660448,-0.322959861,0.102009814,-3.165968518,0.001545675,0.008181848,"yes","down",0.836158810053659,0.860185749416988,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G18250",467.9875383,-0.553696085,0.154978627,-3.572725455,0.000353285,0.002405543,"yes","down",0.81642286207724,0.744907952657929,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G18370",463.4670124,-0.952435839,0.227523298,-4.186102469,2.84e-05,0.000297319,"yes","down",0.748237000930201,0.587078700480148,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G18650",285.3269344,-0.355009284,0.073234574,-4.847563973,1.25e-06,2.1e-05,"yes","down",0.717791408007,0.615289489443715,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G20030",96.15457878,-0.672645204,0.148974232,-4.515178189,6.33e-06,8.36e-05,"yes","down",0.68926168401263,0.464829380142798,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G21560",231.0152533,-0.206246511,0.051011058,-4.043172539,5.27e-05,0.000499827,"yes","down",0.603556885865622,0.426755952997682,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G23000",195.6705577,1.000289694,0.158118131,6.326217532,2.51e-10,1.31e-08,"yes","up",0.803329568593772,0.679204195343574,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
"AT1G23790",98.39674498,-1.091423441,0.248689189,-4.38870481,1.14e-05,0.000137633,"yes","down",0.691822083493135,0.569118912600003,"tissue_specific","Leaf_Shoot","shoot_apex_transition"
