"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01140",607.6129561,0.305454399,0.092768439,3.292654301,0.000992464,0.005696459,"yes","up",0.680311183633182,0.420873123204805,"tissue_specific","Seed_Silique","silique_stage_3"
"AT1G01470",614.4091263,0.399528983,0.075450166,5.295269802,1.19e-07,2.85e-06,"yes","up",0.813492090258866,0.714040645998999,"tissue_specific","Seed_Silique","seed_stage_10"
"AT1G01650",351.2599156,0.217775852,0.047575709,4.577458873,4.71e-06,6.52e-05,"yes","up",0.719839229541059,0.570985597287346,"tissue_specific","Seed_Silique","seed_stage_10"
"AT1G01720",450.0195394,0.264415296,0.061494168,4.29984348,1.71e-05,0.000194359,"yes","up",0.896228885786158,0.861167965591546,"tissue_specific","Seed_Silique","seed_stage_9"
"AT1G02850",201.8501696,0.788525607,0.161567954,4.880457966,1.06e-06,1.82e-05,"yes","up",0.893087070603703,0.895824698034383,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G03770",122.565997,0.277821218,0.057348957,4.844398785,1.27e-06,2.13e-05,"yes","up",0.825479798617784,0.705029204782634,"tissue_specific","Seed_Silique","seed_stage_10"
"AT1G03790",45.41531773,-0.51725674,0.168337614,-3.072734178,0.002121073,0.010541864,"yes","down",0.950419567385487,0.993116155554538,"tissue_specific","Seed_Silique","seed_stage_10"
"AT1G03990",58.88547232,0.463168221,0.169153548,2.738152559,0.006178541,0.024866317,"yes","up",0.932704680264459,0.909347256348788,"tissue_specific","Seed_Silique","seed_stage_10"
"AT1G04000",178.5173153,0.169909922,0.049840226,3.409092105,0.000651795,0.0040075,"yes","up",0.622462633893798,0.545701406732425,"tissue_specific","Seed_Silique","seed_stage_9"
"AT1G04220",247.4963079,0.290872488,0.096437307,3.016182185,0.002559794,0.01224268,"yes","up",0.684830868551472,0.786095315742223,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G04625",2.536971822,1.280324505,0.32818002,3.901287176,9.57e-05,0.000818702,"yes","up",0.685400106902701,0.368519881974431,"tissue_specific","Seed_Silique","seed_stage_10"
"AT1G04660",7.517720487,-0.652637492,0.205025178,-3.183206566,0.001456537,0.007803395,"yes","down",0.884829219408395,0.986602212783188,"tissue_specific","Seed_Silique","seed_stage_6"
