"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G02850",201.8501696,0.788525607,0.161567954,4.880457966,1.06e-06,1.82e-05,"yes","up",0.893087070603703,0.895824698034383,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G04220",247.4963079,0.290872488,0.096437307,3.016182185,0.002559794,0.01224268,"yes","up",0.684830868551472,0.786095315742223,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G09950",12.15103553,1.265226818,0.257100124,4.921144339,8.6e-07,1.54e-05,"yes","up",0.738221253961792,0.3493752726604,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G20870",44.70311801,-0.213208915,0.086159832,-2.474574402,0.013339503,0.04615472,"yes","down",0.735803629855741,0.786941891388538,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G23710",230.7451607,1.572692032,0.217940152,7.216164694,5.35e-13,5.36e-11,"yes","up",0.654646496212493,0.371296513644616,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G27730",253.9859311,2.786270846,0.31308422,8.8994292,5.61e-19,1.74e-16,"yes","up",0.861769245842243,0.719042489668672,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G28470",50.24859992,0.466912957,0.123659123,3.775806778,0.000159491,0.001250722,"yes","up",0.788218125524886,0.740327829162793,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G29160",88.8264627,-0.164361245,0.059627048,-2.756488038,0.005842575,0.02378705,"yes","down",0.837941038120795,0.715871331706332,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G32920",342.9431102,1.073472316,0.227281188,4.723102365,2.32e-06,3.57e-05,"yes","up",0.732639025232811,0.315014985044843,"tissue_specific","Seed_Silique","seed_stage_8"
"AT1G48660",14.34888596,-0.711428944,0.178483849,-3.985956993,6.72e-05,0.000614045,"yes","down",0.927452328611746,0.969032781852069,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G03280",83.72281562,-0.154928388,0.058261763,-2.659177838,0.00783316,0.030196417,"yes","down",0.680099830102022,0.491031440354189,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G16060",180.4154781,0.516319782,0.13321055,3.875967651,0.000106202,0.000895064,"yes","up",0.797567175429897,0.468413338879815,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G17850",4.615912225,0.96826038,0.342321496,2.828511765,0.004676498,0.02002163,"yes","up",0.885134244845953,0.697597789659194,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G18360",106.5688196,0.319377095,0.103076093,3.098459469,0.001945296,0.009815166,"yes","up",0.921116932339542,0.844150583803498,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G18370",187.8833274,0.351500432,0.127362553,2.759841282,0.005782945,0.023605431,"yes","up",0.928364927079693,0.772901697639739,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G22910",301.1484399,0.127774964,0.038191225,3.345662904,0.000820861,0.00484845,"yes","up",0.666343957328037,0.427988545515662,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G38530",937.2550998,0.411182076,0.100166396,4.104990212,4.04e-05,0.000398967,"yes","up",0.810959788489019,0.90923567147646,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G38830",34.94323513,0.306971535,0.120653298,2.544244886,0.010951428,0.039425474,"yes","up",0.684099329393801,0.537748690055433,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G41230",15.78454355,0.685718849,0.243396689,2.81728914,0.00484309,0.020585317,"yes","up",0.858314956823047,0.966299108260679,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G42430",29.88766431,-0.614565388,0.094104641,-6.530659748,6.55e-11,4e-09,"yes","down",0.779560438176756,0.698904959544659,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G44450",170.5597202,-0.385891922,0.104590921,-3.689535564,0.000224664,0.001653424,"yes","down",0.838265244851484,0.811496820156016,"tissue_specific","Seed_Silique","seed_stage_8"
"AT2G46990",4.610648852,-0.514246077,0.202559076,-2.538746168,0.011125051,0.039926058,"yes","down",0.626961412150301,0.502092038779432,"tissue_specific","Seed_Silique","seed_stage_8"
"AT3G07360",565.5547065,0.202645457,0.077723673,2.607255283,0.009127129,0.03405949,"yes","up",0.605156507409468,0.351351758372257,"tissue_specific","Seed_Silique","seed_stage_8"
"AT3G14360",52.39908257,0.245512437,0.071167869,3.449765216,0.000561074,0.003534528,"yes","up",0.841118928519861,0.925273801672837,"tissue_specific","Seed_Silique","seed_stage_8"
"AT3G15352",108.7208876,0.177541504,0.056086725,3.165481715,0.001548264,0.00818507,"yes","up",0.826784845275156,0.688289425178127,"tissue_specific","Seed_Silique","seed_stage_8"
"AT3G16160",3.713641179,0.61276203,0.213487462,2.870248319,0.004101496,0.017998227,"yes","up",0.725014564490009,0.449069737519764,"tissue_specific","Seed_Silique","seed_stage_8"
"AT3G16190",235.2917892,0.143532054,0.049040822,2.926787266,0.003424831,0.015549601,"yes","up",0.821396651902659,0.841925629708995,"tissue_specific","Seed_Silique","seed_stage_8"
"AT3G16280",27.84154631,-0.290346903,0.104382535,-2.781565945,0.005409734,0.022384353,"yes","down",0.774198575060832,0.564708407917225,"tissue_specific","Seed_Silique","seed_stage_8"
"AT3G16490",35.95793009,-0.580733543,0.126445217,-4.592767967,4.37e-06,6.12e-05,"yes","down",0.636756443530865,0.494617109731194,"tissue_specific","Seed_Silique","seed_stage_8"
