"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G11960",194.9685376,0.587237184,0.135608784,4.330377177,1.49e-05,0.00017311,"yes","up",0.689688205705004,0.520852176946645,"tissue_specific","Seed_Silique","silique_stage_5"
"AT1G23200",28.63749585,0.302645204,0.101660703,2.97701269,0.00291072,0.01362478,"yes","up",0.901674910762533,0.970551435611364,"tissue_specific","Seed_Silique","silique_stage_5"
"AT1G63300",270.9090928,-0.19276846,0.049175044,-3.920046494,8.85e-05,0.000768113,"yes","down",0.77862486725852,0.795097298634099,"tissue_specific","Seed_Silique","silique_stage_5"
"AT1G72790",244.2767104,0.97618351,0.184125452,5.301730405,1.15e-07,2.77e-06,"yes","up",0.673221778252203,0.25919033688109,"tissue_specific","Seed_Silique","silique_stage_5"
"AT2G17840",916.1750311,0.648548971,0.09523944,6.809668027,9.78e-12,7.17e-10,"yes","up",0.704264540454861,0.55781048152417,"tissue_specific","Seed_Silique","silique_stage_5"
"AT2G18650",41.01321243,-0.280622379,0.095067649,-2.951817822,0.003159093,0.014573246,"yes","down",0.867580997373266,0.659708218197475,"tissue_specific","Seed_Silique","silique_stage_5"
"AT2G23400",17.03142043,-0.52096415,0.171869424,-3.031162474,0.002436141,0.011763039,"yes","down",0.722783458461971,0.478133003419058,"tissue_specific","Seed_Silique","silique_stage_5"
"AT2G26440",215.3564315,0.682736441,0.136593157,4.998320983,5.78e-07,1.1e-05,"yes","up",0.671609373566874,0.359090329646616,"tissue_specific","Seed_Silique","silique_stage_5"
"AT3G14760",49.9833794,-0.402449049,0.093466376,-4.30581636,1.66e-05,0.000189872,"yes","down",0.929380559771515,0.94161172988234,"tissue_specific","Seed_Silique","silique_stage_5"
"AT3G19680",457.3630063,-0.452425314,0.141340329,-3.200964069,0.001369686,0.007442972,"yes","down",0.694410537264925,0.467840134708833,"tissue_specific","Seed_Silique","silique_stage_5"
"AT4G17660",4.440361107,1.907693166,0.354096046,5.387502034,7.14e-08,1.83e-06,"yes","up",0.872603360841198,0.81311977442353,"tissue_specific","Seed_Silique","silique_stage_5"
"AT4G19420",232.6544506,0.270726828,0.098833645,2.739217268,0.006158566,0.024807908,"yes","up",0.719266448059693,0.285316899649875,"tissue_specific","Seed_Silique","silique_stage_5"
"AT4G30400",168.680005,-0.177549383,0.071342901,-2.488676258,0.012821966,0.044705252,"yes","down",0.638282035220635,0.521232178328439,"tissue_specific","Seed_Silique","silique_stage_5"
"AT4G33070",204.8280497,0.550364397,0.147085748,3.741792825,0.000182712,0.001394326,"yes","up",0.923462945178911,0.849072109414398,"tissue_specific","Seed_Silique","silique_stage_5"
"AT5G07920",283.0115159,0.148750489,0.039690705,3.7477412,0.000178434,0.00136877,"yes","up",0.605478776114677,0.554423045253704,"tissue_specific","Seed_Silique","silique_stage_5"
"AT5G10160",713.7488898,-0.153248652,0.049643712,-3.086970067,0.00202208,0.010143963,"yes","down",0.630288077722502,0.349868673821802,"tissue_specific","Seed_Silique","silique_stage_5"
"AT5G57920",12.20125771,-0.357388367,0.140906294,-2.536354885,0.011201316,0.040135068,"yes","down",0.898982006804661,0.923216927288723,"tissue_specific","Seed_Silique","silique_stage_5"
"AT5G58930",469.7741596,0.186930987,0.04832683,3.868058161,0.000109706,0.000919661,"yes","up",0.786917791731066,0.751737986954629,"tissue_specific","Seed_Silique","silique_stage_5"
"AT5G65470",583.7776373,-0.162740353,0.063216563,-2.574330925,0.010043416,0.03674584,"yes","down",0.611156389763672,0.507711652838358,"tissue_specific","Seed_Silique","silique_stage_5"
