"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G16130",49.98364344,1.235452311,0.295477389,4.181207617,2.9e-05,0.000302776,"yes","up",0.859808102023538,0.7146151982743,"tissue_specific","Seedling","seedling_green_parts"
"AT1G18570",188.0899404,1.840247208,0.287006294,6.41187057,1.44e-10,8.05e-09,"yes","up",0.839876489542136,0.751554485134326,"tissue_specific","Seedling","seedling_green_parts"
"AT1G19380",162.3842989,1.779918005,0.312062229,5.703727779,1.17e-08,3.84e-07,"yes","up",0.701545335671495,0.549881408240062,"tissue_specific","Seedling","seedling_green_parts"
"AT1G19610",6.403287197,0.628734803,0.244680675,2.569613649,0.010181199,0.037152683,"yes","up",0.87386060822821,0.825451992696296,"tissue_specific","Seedling","seedling_green_parts"
"AT1G19770",1191.748031,1.033626234,0.289472846,3.570719146,0.000356002,0.002419852,"yes","up",0.608401573036234,0.481914681479276,"tissue_specific","Seedling","seedling_green_parts"
"AT1G21120",294.5922918,1.532390501,0.278463794,5.503015245,3.73e-08,1.05e-06,"yes","up",0.856479833990443,0.702738922899166,"tissue_specific","Seedling","seedling_green_parts"
"AT1G22690",707.618909,-0.186644741,0.051049954,-3.656119695,0.000256062,0.001847046,"yes","down",0.903245079703515,0.840547325208187,"tissue_specific","Seedling","seedling_green_parts"
"AT1G22810",4.218515846,1.12427897,0.370323175,3.035940081,0.00239787,0.011613929,"yes","up",0.674709818076445,0.560910109302178,"tissue_specific","Seedling","seedling_green_parts"
"AT1G22890",94.90866041,0.858557044,0.298864557,2.872729544,0.004069423,0.017877099,"yes","up",0.796983480466269,0.761286488650048,"tissue_specific","Seedling","seedling_green_parts"
"AT1G25400",232.8438384,0.990458259,0.299149385,3.31091524,0.000929914,0.005384637,"yes","up",0.803926541347517,0.686088764169887,"tissue_specific","Seedling","seedling_green_parts"
"AT1G25560",576.7369081,0.924676248,0.17019639,5.432995674,5.54e-08,1.48e-06,"yes","up",0.722481417921502,0.603589370941802,"tissue_specific","Seedling","seedling_green_parts"
"AT1G29690",336.1255342,0.754419373,0.169417703,4.453013829,8.47e-06,0.000107139,"yes","up",0.641009280097102,0.43681599849829,"tissue_specific","Seedling","seedling_green_parts"
"AT1G33590",2016.076295,0.598741027,0.114601451,5.224550134,1.75e-07,3.94e-06,"yes","up",0.624401742466231,0.591964051121931,"tissue_specific","Seedling","seedling_green_parts"
"AT1G33600",779.4072685,0.654665483,0.130045827,5.034113735,4.8e-07,9.36e-06,"yes","up",0.81363256705996,0.79278531728911,"tissue_specific","Seedling","seedling_green_parts"
"AT1G51620",19.8598349,0.749352841,0.160265018,4.675710585,2.93e-06,4.33e-05,"yes","up",0.659406324147289,0.537520701846901,"tissue_specific","Seedling","seedling_green_parts"
"AT1G51800",310.1955103,0.307873295,0.08430051,3.652092926,0.000260112,0.001867686,"yes","up",0.874951520737112,0.705416360573399,"tissue_specific","Seedling","seedling_green_parts"
"AT1G51820",48.89811173,0.546888813,0.191793862,2.851440645,0.004352161,0.018894668,"yes","up",0.819861297800215,0.753830482579836,"tissue_specific","Seedling","seedling_green_parts"
"AT1G52100",1753.262997,-0.492556237,0.093924289,-5.244183825,1.57e-07,3.61e-06,"yes","down",0.892794052534165,0.818517676768002,"tissue_specific","Seedling","seedling_green_parts"
"AT1G55450",817.6421169,1.216415358,0.197588617,6.156302806,7.45e-10,3.39e-08,"yes","up",0.828111226410809,0.759186636025904,"tissue_specific","Seedling","seedling_green_parts"
"AT1G63750",145.4863546,1.100764367,0.218956089,5.027329327,4.97e-07,9.66e-06,"yes","up",0.863103624401395,0.808732908248249,"tissue_specific","Seedling","seedling_green_parts"
"AT1G66180",1168.23027,0.814236482,0.15526593,5.244141348,1.57e-07,3.61e-06,"yes","up",0.738014495466489,0.485066102110976,"tissue_specific","Seedling","seedling_green_parts"
