"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G17600",76.12729496,0.45952387,0.137276982,3.347421135,0.000815672,0.004821423,"yes","up",0.782036761225776,0.649885699624818,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT1G31580",1898.36813,0.720682821,0.24980678,2.884961016,0.003914621,0.017316342,"yes","up",0.696031408082245,0.608700150600946,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT1G49750",1438.435641,0.342271624,0.095327543,3.590479881,0.00033007,0.00227241,"yes","up",0.745220342887435,0.618972956600085,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT1G72610",13905.93202,-0.156410816,0.053088958,-2.946202416,0.003217018,0.014791255,"yes","down",0.659392188248975,0.61987971425057,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT2G04450",75.25310573,1.206494935,0.248441886,4.856246085,1.2e-06,2.02e-05,"yes","up",0.848801192494961,0.630656715950506,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT2G25510",704.7347309,0.696495381,0.219946801,3.16665383,0.001542038,0.008170477,"yes","up",0.702770752490299,0.610469453213841,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT2G41090",1068.069634,0.63513508,0.150591894,4.21759142,2.47e-05,0.000264942,"yes","up",0.799594069608849,0.708315368094391,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT3G22231",127.7685604,2.218451133,0.491791693,4.510956907,6.45e-06,8.5e-05,"yes","up",0.851103612319039,0.691893293645217,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT4G23130",25.43015177,1.083184003,0.228577977,4.73879425,2.15e-06,3.35e-05,"yes","up",0.726788676449534,0.576372133203165,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT5G55450",114.2930504,1.837009088,0.303205447,6.05862826,1.37e-09,5.77e-08,"yes","up",0.837853917491752,0.547682488610483,"tissue_specific","Seedling","whole_plant_pre_bolting"
"AT5G61660",99.91063548,0.299955511,0.098702102,3.038998196,0.002373663,0.011520353,"yes","up",0.749297931328557,0.692858044813112,"tissue_specific","Seedling","whole_plant_pre_bolting"
