"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01080",1401.18185,-0.103735679,0.03009069,-3.447434416,0.000565938,0.003558509,"yes","down",0.589809203347975,0.547013685625408,"constitutive","Leaf_Shoot","rosette_leaf"
"AT1G01100",3548.183554,-0.19892115,0.040521684,-4.909005001,9.15e-07,1.62e-05,"yes","down",0.403914211840134,0.159620745577467,"constitutive","Leaf_Shoot","shoot_apex_transition"
"AT1G01150",2.997535827,-0.693293268,0.245520752,-2.823766477,0.004746295,0.020257907,"yes","down",0.595890053697367,0.297512631507037,"constitutive","Seed_Silique","seed_stage_9"
"AT1G01220",582.8094696,0.532529871,0.096812807,5.500613904,3.78e-08,1.06e-06,"yes","up",0.402255326541952,0.24854197595718,"constitutive","Seedling","whole_plant_pre_bolting"
"AT1G01430",752.987659,-0.148540704,0.04926412,-3.015190436,0.00256818,0.012274877,"yes","down",0.508432972856216,0.368012315945919,"constitutive","Flower","petal"
"AT1G01550",1487.544678,0.226122222,0.044747762,5.053263237,4.34e-07,8.56e-06,"yes","up",0.503226469150261,0.170365037946166,"constitutive","Leaf_Shoot","senescing_leaf"
"AT1G01620",3518.255175,-0.601257739,0.134684144,-4.464205821,8.04e-06,0.000102515,"yes","down",0.515287319768317,0.366870028096354,"constitutive","Flower","pedicel"
"AT1G01790",2446.670479,-0.168618538,0.038641041,-4.363716196,1.28e-05,0.000151931,"yes","down",0.538484340883162,0.53400658567673,"constitutive","Leaf_Shoot","cotyledon"
"AT1G01800",852.216176,0.092838471,0.028339796,3.27590466,0.001053241,0.005990327,"yes","up",0.363581478138275,0.179507206722487,"constitutive","Flower","sepal"
"AT1G01860",158.6333876,-0.200249981,0.054670108,-3.662878822,0.000249397,0.001807003,"yes","down",0.473793416913029,0.39365522865829,"constitutive","Leaf_Shoot","rosette_vegetative"
"AT1G02110",386.8463292,-0.152265546,0.057817617,-2.633549335,0.008449756,0.032085389,"yes","down",0.567714563520462,0.264456776118618,"constitutive","Leaf_Shoot","shoot_apex_transition"
"AT1G02130",529.0481376,-0.082018723,0.031258361,-2.623897149,0.008693003,0.032787226,"yes","down",0.399989359972153,0.329388605973737,"constitutive","Leaf_Shoot","senescing_leaf"
"AT1G02140",1470.516943,-0.060347362,0.024564075,-2.456732532,0.014020703,0.048025288,"yes","down",0.315401938939541,0.209989381114291,"constitutive","Seed_Silique","seed_stage_10"
"AT1G02180",64.78971473,-0.294747312,0.080551542,-3.659114465,0.000253088,0.001827834,"yes","down",0.534385693030385,0.481094515475902,"constitutive","Flower","inflorescence_apex"
"AT1G02270",239.7700821,0.136957996,0.040053619,3.419366334,0.000627672,0.003886552,"yes","up",0.505797558093764,0.225597967640515,"constitutive","Leaf_Shoot","senescing_leaf"
"AT1G02410",257.3742481,0.114535473,0.038110927,3.005318515,0.002653029,0.012635239,"yes","up",0.339050930989536,0.261952401150873,"constitutive","Flower","mature_pollen"
"AT1G02740",106.9388215,0.254159661,0.058116483,4.373280161,1.22e-05,0.000146307,"yes","up",0.517106319282812,0.177923168944311,"constitutive","Leaf_Shoot","senescing_leaf"
"AT1G02750",118.9260651,0.226235138,0.054102488,4.181603188,2.89e-05,0.000302458,"yes","up",0.480666764083339,0.341006326734496,"constitutive","Seed_Silique","seed_stage_9"
"AT1G02780",10765.43519,-0.209734556,0.040636622,-5.161220196,2.45e-07,5.24e-06,"yes","down",0.41831623730926,0.16844801255031,"constitutive","Flower","inflorescence_apex"
"AT1G02880",233.3939632,0.243721883,0.059549909,4.092733095,4.26e-05,0.000417169,"yes","up",0.455515914707109,0.443959814682113,"constitutive","Seed_Silique","seed_stage_10"
"AT1G03190",151.1376343,-0.103512871,0.040722788,-2.541890563,0.011025469,0.0396315,"yes","down",0.410352229875856,0.297272746635886,"constitutive","Flower","inflorescence_apex"
"AT1G03300",25.37111353,-0.768436195,0.245829496,-3.125890948,0.001772673,0.009102543,"yes","down",0.425985310532447,0.290379590853657,"constitutive","Leaf_Shoot","shoot_apex_transition"
"AT1G03330",310.7660657,-0.116091432,0.033302007,-3.486019147,0.000490266,0.003170747,"yes","down",0.354131620855551,0.217841315432496,"constitutive","Flower","inflorescence_apex"
"AT1G03380",566.0013293,0.296092411,0.068343628,4.332406993,1.47e-05,0.000171945,"yes","up",0.591356731008291,0.215009554725633,"constitutive","Leaf_Shoot","senescing_leaf"
"AT1G03410",400.8612069,-0.174239502,0.038752775,-4.496181297,6.92e-06,9e-05,"yes","down",0.472164207993498,0.218004976872709,"constitutive","Leaf_Shoot","cauline_leaf"
"AT1G03430",129.7641984,0.271635522,0.072329071,3.755551085,0.00017296,0.001333725,"yes","up",0.550660824360213,0.140551965353919,"constitutive","Leaf_Shoot","senescing_leaf"
"AT1G03440",371.4329335,0.44114826,0.115379132,3.823466641,0.000131588,0.00106669,"yes","up",0.469304667132196,0.391485758393671,"constitutive","Seed_Silique","seed_stage_6"
