"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","deg_flag","regulation","tau_subtissue","tau_broad","specificity","predominant_broad_organ","predominant_subtissue"
"AT1G01680",7.813719593,2.320756798,0.391465855,5.928376053,3.06e-09,1.17e-07,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G01690",94.5689936,-0.440643574,0.109278837,-4.032286465,5.52e-05,0.000520839,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G02145",228.1793923,-0.100330735,0.039362743,-2.548875586,0.010807085,0.039001134,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G02380",38.10592933,0.396671709,0.126231438,3.142416136,0.001675597,0.008721318,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G02570",9.475807296,-0.405477869,0.147412012,-2.750643333,0.005947836,0.024128093,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G02650",39.38910617,1.199737024,0.237202785,5.057853877,4.24e-07,8.4e-06,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G02770",38.58141327,0.240292346,0.089773403,2.676654091,0.007436136,0.028926079,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G02930",1917.821998,0.917609006,0.205992164,4.454582091,8.41e-06,0.00010644,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G02990",282.6558426,0.14611175,0.045128704,3.2376678,0.00120511,0.006684252,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G03230",772.730785,0.635307575,0.121991169,5.207816097,1.91e-07,4.24e-06,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G03760",119.1925908,0.176219247,0.060777439,2.899418774,0.003738552,0.016687916,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04047",5.156027299,0.669165149,0.187581834,3.567323843,0.000360646,0.002443662,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04163",1.969620487,1.160401059,0.392863099,2.953703367,0.003139857,0.014501536,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04247",33.43293163,0.519385713,0.169975116,3.05565735,0.002245677,0.011025595,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04313",10.1394072,1.542655463,0.245688845,6.278899068,3.41e-10,1.7e-08,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04323",7.243339387,1.441945292,0.266009011,5.420663323,5.94e-08,1.57e-06,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04425",51.41095308,-0.665656297,0.189496081,-3.512770785,0.00044346,0.002916763,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04470",2.830043785,0.92352681,0.28388358,3.253188549,0.001141177,0.006385738,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04503",265.9547512,-0.258586331,0.06672536,-3.87538309,0.000106457,0.000896895,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04555",57.03801556,0.22794738,0.074059773,3.077883863,0.002084761,0.010398663,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04630",474.1461372,-0.081104591,0.028042441,-2.892208644,0.003825438,0.017004913,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04778",6.634438098,-0.474895893,0.185428628,-2.561071058,0.010435001,0.037925421,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04827",4.253775043,0.593443385,0.207798557,2.855859029,0.004292057,0.018691419,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04833",82.43000394,1.355326213,0.247681484,5.472053026,4.45e-08,1.22e-06,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04940",1185.004651,-0.104942164,0.038375695,-2.734599691,0.006245618,0.025075848,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G04977",119.4683754,-0.293518985,0.073346265,-4.001825955,6.29e-05,0.000579919,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G05035",7.810506371,1.453592595,0.277748666,5.233481831,1.66e-07,3.79e-06,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G05250",643.0885388,-0.521154207,0.124771901,-4.176855535,2.96e-05,0.000307475,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G05333",5.418288441,2.121538227,0.494780517,4.287837039,1.8e-05,0.000202725,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G05675",45.12831205,2.204015323,0.355100865,6.206730371,5.41e-10,2.57e-08,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G05820",53.60213027,0.257057069,0.083242483,3.088051441,0.002014736,0.010112409,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06120",65.27169694,-0.430727077,0.137674052,-3.128600283,0.001756411,0.009028929,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06148",2.656374255,0.744143846,0.265420664,2.803639456,0.005052937,0.021300589,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06360",454.0123111,-0.353964365,0.104942212,-3.372945528,0.000743687,0.004468755,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06475",17.96022192,-0.450311609,0.152018172,-2.962222242,0.003054272,0.014177476,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06515",157.162439,-0.173475058,0.069057215,-2.512048258,0.012003267,0.042434466,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06577",7.003810516,2.22162125,0.343336637,6.470679235,9.76e-11,5.65e-09,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06583",2.910495965,1.728760486,0.316711313,5.458474063,4.8e-08,1.31e-06,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06587",5.608995104,2.232077864,0.314804192,7.090368927,1.34e-12,1.24e-10,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06593",2.441431792,1.723533914,0.348401007,4.946983152,7.54e-07,1.37e-05,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06740",69.36787824,0.202138548,0.064448861,3.136417695,0.001710254,0.008837337,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G06983",3.862087616,0.787078469,0.265626089,2.963106794,0.003045509,0.014143712,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07135",298.5905633,2.292272067,0.407587209,5.624003941,1.87e-08,5.74e-07,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07167",34.56128476,0.82978886,0.167896184,4.942273483,7.72e-07,1.4e-05,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07175",9.423580485,-0.39885608,0.155518827,-2.564680361,0.010327089,0.037624043,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07367",51.8911499,1.046164715,0.294568246,3.551518973,0.000383014,0.002575242,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07373",42.13473617,1.191468674,0.264700209,4.501200344,6.76e-06,8.84e-05,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07477",32.12609915,-0.370053702,0.140792482,-2.628362649,0.0085797,0.032453347,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07620",22.27921713,0.493613437,0.123890564,3.984269816,6.77e-05,0.000617495,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07728",27.68537822,0.593666989,0.222966506,2.662583719,0.007754328,0.029926779,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07737",99.2077105,-0.932645365,0.37459238,-2.489760646,0.012782915,0.044613364,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07810",825.1501835,0.16878271,0.043677744,3.864272612,0.000111421,0.00093106,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07820",927.0881387,-0.575510528,0.084514728,-6.809588628,9.79e-12,7.17e-10,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07900",8.259602986,1.070051546,0.215737432,4.959971641,7.05e-07,1.3e-05,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07930",9026.289325,-0.127662651,0.050193101,-2.543430236,0.010976997,0.039493641,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07943",2.588338061,0.782871998,0.284292519,2.753755184,0.005891582,0.023953478,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G07983",96.42163231,-0.308606604,0.09939317,-3.104907562,0.001903385,0.009648765,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08160",159.2811931,0.186055664,0.069836369,2.664165782,0.007717952,0.029815679,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08260",1307.11931,1.599204718,0.217530068,7.351649056,1.96e-13,2.09e-11,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08290",31.75956931,0.297394353,0.113839406,2.612402537,0.008990832,0.033657439,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08387",5.6125264,1.535169993,0.341208262,4.499216946,6.82e-06,8.9e-05,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08400",100.3479049,0.186386772,0.060385529,3.086613217,0.002024508,0.010153986,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08507",9.068544598,0.342572929,0.135489682,2.528406037,0.011458175,0.040850509,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08857",26.63341466,0.274895556,0.105482958,2.606066066,0.009158879,0.034161402,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08910",364.8185888,0.422036887,0.079173721,5.330517254,9.79e-08,2.42e-06,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G08973",19.05499278,0.372199581,0.130578076,2.850398715,0.004366445,0.018941888,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09176",8.000250467,1.361848333,0.340716225,3.997016381,6.41e-05,0.000589517,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09287",4.172583642,0.669321703,0.22849587,2.929250766,0.003397802,0.015462622,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09421",29.71074491,-0.377986183,0.117913311,-3.205627766,0.001347682,0.007353404,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09470",121.4760079,-0.494375258,0.135396735,-3.651308555,0.000260908,0.00187283,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09490",255.8938128,0.133149386,0.044411202,2.998103604,0.002716653,0.012867121,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09617",3.197517886,0.679949114,0.263394999,2.581480725,0.009837748,0.036144832,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09690",5946.091404,-0.258820606,0.044542988,-5.810580173,6.23e-09,2.23e-07,"yes","down",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09794",39.68163908,0.245111956,0.093973822,2.608300369,0.009099307,0.03398501,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09812",31.6434366,0.642973145,0.147120539,4.370383282,1.24e-05,0.000147738,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09863",50.51045152,0.239200297,0.092386009,2.589139857,0.009621601,0.035522317,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
"AT1G09932",53.79843562,1.22331023,0.152589461,8.017003435,1.08e-15,1.91e-13,"yes","up",NA,NA,"unannotated","unannotated","unannotated"
