"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G48720",2009.27870339407,-5.24557583699206,0.392223826345854,-13.373934688931,8.58752407972641e-41,2.02124554264521e-36
"AT5G03780",543.7888491735,-4.28057523984218,0.373649392477547,-11.456127926394,2.19092456049903e-30,2.57838956902328e-26
"AT3G27630",529.38146008694,-6.65479918940285,0.608835509637833,-10.9303729563367,8.25086111885823e-28,6.47335060515221e-24
"AT2G30360",800.606207011049,-4.31422185317188,0.402681784201573,-10.713724887571,8.77581898523372e-27,5.06859454491136e-23
"AT2G45460",683.425825547013,-3.37196544453749,0.315290722292827,-10.6947816923257,1.07672909566031e-26,5.06859454491136e-23
"AT5G20850",477.978010423728,-4.40921125944492,0.422955998218651,-10.4247516952474,1.91157978385811e-25,7.49880889544471e-22
"AT3G07800",2277.11020968599,-4.60761137895347,0.443236922229986,-10.3953690404941,2.60277428809029e-25,8.75164263125445e-22
"AT4G02390",1109.09976017998,-4.44742300693396,0.43068534437184,-10.3263857594704,5.35400387339907e-25,1.57521486460243e-21
"AT4G21070",1336.83167254832,-4.4672762237427,0.433807260508142,-10.2978364596986,7.2063815879823e-25,1.88462892707044e-21
"AT3G27060",7728.31693594848,-3.95999838154942,0.399316705716163,-9.91693641879388,3.51375734328976e-23,8.2703306589011e-20
"AT3G52115",280.044965762397,-3.58593234782239,0.366859823284524,-9.77466629002124,1.44633172237224e-22,3.09475543177049e-19
"AT2G18193",3420.02242663448,-5.55656130028994,0.573189405055843,-9.69411027363388,3.19409372084952e-22,6.2649486589696e-19
"AT5G51580",96.1448565581256,-5.10913463212156,0.528232840176722,-9.67212608442194,3.96063048964921e-22,7.17087383345181e-19
"AT4G19130",246.863983779819,-3.17333229019533,0.330778449413329,-9.59352792125233,8.51235049021506e-22,1.43110852491566e-18
"AT4G34510",118.820572285261,-4.21356424384094,0.447414969079099,-9.41757548370274,4.61623865818693e-21,6.79077558110911e-18
"AT5G48020",1414.46858321025,-2.72119631790005,0.288891923257808,-9.41942677806069,4.53557312415719e-21,6.79077558110911e-18
"AT5G07610",524.903934926566,-4.11417801534369,0.438361773495362,-9.38534850458902,6.2708713256398e-21,8.68220578774023e-18
"AT5G40840",501.162260266336,-3.74206098725135,0.405551813502854,-9.22708483271278,2.78097345150889e-20,3.63643178489804e-17
"AT5G60250",404.196058798826,-4.49781333223827,0.501450613608217,-8.96960380579455,2.975828946507e-19,3.68642557441765e-16
"AT3G25250",302.619508148782,-3.2038065475359,0.357474640989696,-8.96233237318852,3.17881996717594e-19,3.740994278371e-16
"AT5G66130",251.067800890569,-2.94228140086651,0.334402433652223,-8.7986243662523,1.3850345155991e-18,1.55235987588839e-15
"AT3G42860",135.5053254126,-2.49177481092959,0.285045815122422,-8.74166424741027,2.29701274682063e-18,2.45749041008715e-15
"AT5G11460",315.727067484898,-2.99568331211489,0.345212073798149,-8.67780573012783,4.03477465279732e-18,4.12897786969089e-15
"AT5G55490",161.061664940346,-4.84539758965876,0.560668877037699,-8.64217328284652,5.51536937572491e-18,5.40896870818488e-15
"AT1G31280",696.524437989004,-2.58493779287609,0.30622961126684,-8.44117517630797,3.14162901208893e-17,2.95778088230149e-14
"AT5G67460",358.701719425081,-3.34450413435777,0.400807525769744,-8.34441451151573,7.15675542437169e-17,6.47879047782448e-14
"AT3G19150",236.829046102971,-2.52003539968334,0.303176945052614,-8.31209444123798,9.40275450062177e-17,8.19676417337535e-14
"AT3G14560",180.647153320471,-2.05918247041616,0.249908679614725,-8.2397397064829,1.7258570869407e-16,1.45076779483297e-13
"AT2G18600",77.5322400168553,-3.17214528192782,0.388520138676039,-8.16468688788577,3.22270034369715e-16,2.61561027550345e-13
"AT1G30475",106.987910359418,-2.62141227740311,0.325953118193389,-8.04229851192224,8.81687866021489e-16,6.91742910084926e-13
"AT5G24280",1074.82646966262,-4.04921296318662,0.504115550912689,-8.03231115536034,9.56534025867158e-16,7.26256173123719e-13
"AT2G31320",520.607834312739,-2.53500706643702,0.319424939109689,-7.93615887820991,2.08538847596808e-15,1.53386839246439e-12
"AT4G02110",600.213321436006,-2.84361819160781,0.368298826602366,-7.72095370990125,1.15462483482943e-14,8.23527416284252e-12
"AT4G35740",230.197227859012,-2.21061784735118,0.289015872011781,-7.64877662933705,2.02900335514738e-14,1.40460741088541e-11
"AT1G59660",345.580076923203,-2.63084454950647,0.345043731950031,-7.62466987775181,2.44659681789272e-14,1.6401451187998e-11
"AT3G02400",312.357454444773,-2.13554537038679,0.280202347459199,-7.62143996919136,2.50861300406989e-14,1.6401451187998e-11
