"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006281","DNA repair","3/3","338/16159",0.00887573964497041,47.8076923076923,11.8507577951613,9.07241836028793e-06,8.89111495297379e-05,6.6850488368224e-06,"AT4G02390/AT3G07800/AT3G27060",3
"GO:0006974","DNA damage response","3/3","378/16159",0.00793650793650794,42.7486772486772,11.1920300361598,1.27015927899626e-05,8.89111495297379e-05,6.6850488368224e-06,"AT4G02390/AT3G07800/AT3G27060",3
"GO:0006302","double-strand break repair","2/3","135/16159",0.0148148148148148,79.7975308641975,12.5279938671996,0.000206713025915935,0.000964660787607695,7.25308862862928e-05,"AT4G02390/AT3G07800",2
"GO:0010225","response to UV-C","1/3","14/16159",0.0714285714285714,384.738095238095,19.5734515727693,0.00259708008261228,0.00779075792764812,0.000585771272755498,"AT3G07800",1
"GO:0006303","double-strand break repair via nonhomologous end joining","1/3","15/16159",0.0666666666666667,359.088888888889,18.9068164322169,0.00278241354558861,0.00779075792764812,0.000585771272755498,"AT4G02390",1
"GO:0009116","nucleoside metabolic process","1/3","27/16159",0.037037037037037,199.493827160494,14.0660542434872,0.00500462462476492,0.0116774574577848,0.000878004320134196,"AT3G07800",1
"GO:0072527","pyrimidine-containing compound metabolic process","1/3","56/16159",0.0178571428571429,96.1845238095238,9.72286969905575,0.0103613332589324,0.0207226665178648,0.00155809522690713,"AT3G07800",1
"GO:0009411","response to UV","1/3","121/16159",0.00826446280991736,44.5151515151515,6.54704894431003,0.0222978365235318,0.0383739920643013,0.00288526256122566,"AT3G07800",1
"GO:1901657","glycosyl compound metabolic process","1/3","146/16159",0.00684931506849315,36.8926940639269,5.93654330631114,0.0268631175436369,0.0383739920643013,0.00288526256122566,"AT3G07800",1
"GO:0006260","DNA replication","1/3","149/16159",0.00671140939597315,36.1498881431767,5.87366160974595,0.0274099943316438,0.0383739920643013,0.00288526256122566,"AT3G27060",1
"GO:0051726","regulation of cell cycle","1/3","182/16159",0.00549450549450549,29.5952380952381,5.28651295005365,0.0334121223915606,0.040471617211471,0.00304297873770458,"AT3G27060",1
"GO:0012501","programmed cell death","1/3","203/16159",0.00492610837438424,26.5336617405583,4.98869109586747,0.0372187715351484,0.040471617211471,0.00304297873770458,"AT3G27060",1
"GO:0008219","cell death","1/3","205/16159",0.0048780487804878,26.2747967479675,4.96269192136848,0.0375807874106516,0.040471617211471,0.00304297873770458,"AT3G27060",1
