"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009657","plastid organization","128/1459","287/16941",0.445993031358885,5.17859351902047,21.9170759157145,1.19890533060546e-60,2.14244382579197e-57,1.80971604640867e-57,"AT2G24060/AT2G21280/AT3G06730/AT5G24660/AT5G53860/AT5G35220/AT3G58830/AT3G56910/AT5G22640/AT3G18420/AT5G26742/AT2G47940/AT5G36170/AT1G32080/AT4G20360/AT5G24020/AT2G20890/AT2G16800/AT2G21170/AT2G33800/AT2G38140/AT3G63190/AT1G63680/AT3G51720/AT1G50900/AT4G38160/AT3G02380/AT5G18570/AT4G13670/AT1G44575/AT1G74730/AT3G53890/AT4G39460/AT1G45230/AT3G46740/AT5G44650/AT3G18680/AT1G11870/AT1G08540/AT3G26900/AT2G37860/AT4G23940/AT2G28000/AT1G03160/AT5G23120/AT4G37920/AT1G35680/AT4G26150/AT5G54600/AT1G10910/AT3G17040/AT4G16390/AT4G31850/AT3G29185/AT5G62440/AT3G07430/AT4G20130/AT5G21920/AT5G08050/AT3G24590/AT5G62430/AT3G62910/AT3G52750/AT1G42550/AT1G21600/AT5G23040/AT3G54090/AT2G04270/AT3G56270/AT2G48120/AT4G34020/AT1G68590/AT3G57180/AT4G34090/AT2G18710/AT3G27750/AT1G24490/AT1G64500/AT2G17240/AT5G58770/AT3G56940/AT3G12780/AT5G17790/AT1G30610/AT1G06950/AT1G09340/AT5G63420/AT1G62750/AT1G56190/AT1G69200/AT5G14100/AT2G25870/AT1G79600/AT3G24506/AT5G64050/AT1G11750/AT3G48870/AT4G14870/AT3G56290/AT3G04340/AT1G66840/AT3G63140/AT4G33650/AT5G45390/AT2G46820/AT5G24314/AT2G26840/AT1G71720/AT1G70200/AT1G15510/AT3G47450/AT3G54710/AT4G37650/AT4G01150/AT2G31270/AT1G12410/AT2G31530/AT5G55580/AT2G39140/AT3G61320/AT3G10670/AT2G31040/AT2G01110/AT1G20830/AT2G43090/AT3G19180/AT5G19620/AT5G51020",128
"GO:0042254","ribosome biogenesis","122/1459","320/16941",0.38125,4.42683773132282,18.9981263576487,8.83766772530815e-49,7.89645611256283e-46,6.67011343057468e-46,"AT5G66470/AT1G80770/AT2G37220/AT4G14510/AT1G12800/AT5G26742/AT1G07840/AT3G12930/AT5G46420/AT1G60230/AT2G33800/AT4G24770/AT1G07070/AT3G52150/AT4G34730/AT5G18570/AT1G52980/AT3G53890/AT1G18080/AT2G31890/AT5G25080/AT5G57280/AT1G45230/AT5G46580/AT1G60000/AT3G09200/AT2G09990/AT1G06190/AT1G01080/AT5G62440/AT5G20290/AT3G02560/AT3G11940/AT2G39670/AT3G17170/AT1G48630/AT2G37270/AT2G01250/AT1G04270/AT2G04270/AT1G50000/AT3G25520/AT2G48120/AT5G50250/AT3G02080/AT3G28460/AT3G62870/AT1G10490/AT3G52380/AT5G27990/AT1G15930/AT3G57180/AT5G16130/AT3G61110/AT5G15200/AT5G26180/AT1G72370/AT5G13650/AT1G48830/AT2G44120/AT3G11510/AT2G17240/AT3G04770/AT5G55190/AT5G67510/AT2G32060/AT1G09340/AT2G36160/AT5G27700/AT5G61170/AT1G41880/AT3G28900/AT4G32720/AT2G25870/AT3G49910/AT3G24506/AT3G57940/AT3G11964/AT5G47930/AT5G65900/AT1G01860/AT1G55140/AT1G50920/AT2G20450/AT3G63140/AT3G11250/AT3G06530/AT3G19810/AT5G67240/AT3G53460/AT4G21770/AT5G39740/AT5G61770/AT1G70200/AT5G02610/AT3G57000/AT2G47610/AT3G22660/AT5G09510/AT3G01540/AT5G06360/AT2G39140/AT2G19870/AT3G15080/AT5G10910/AT3G09500/AT4G25630/AT4G28200/AT1G69620/AT1G26880/AT3G23700/AT5G54910/AT5G18380/AT1G17690/AT5G17930/AT1G31970/AT5G41190/AT1G23280/AT4G25550/AT4G01560/AT2G48100/AT1G80750",122
"GO:0009658","chloroplast organization","98/1459","214/16941",0.457943925233645,5.31735986112624,19.5113322834182,8.56339237969486e-48,5.10092739417157e-45,4.30873848157278e-45,"AT2G24060/AT2G21280/AT5G24660/AT5G35220/AT3G58830/AT5G22640/AT3G18420/AT5G26742/AT2G47940/AT1G32080/AT4G20360/AT5G24020/AT2G16800/AT2G21170/AT3G63190/AT1G63680/AT3G51720/AT1G50900/AT4G38160/AT3G02380/AT5G18570/AT4G13670/AT1G74730/AT3G53890/AT4G39460/AT1G45230/AT3G46740/AT5G44650/AT3G18680/AT1G11870/AT1G08540/AT3G26900/AT2G37860/AT4G23940/AT2G28000/AT4G37920/AT1G35680/AT4G26150/AT1G10910/AT4G16390/AT3G29185/AT5G62440/AT3G07430/AT4G20130/AT5G21920/AT5G08050/AT5G62430/AT3G62910/AT3G52750/AT1G42550/AT1G21600/AT5G23040/AT3G54090/AT2G04270/AT3G56270/AT2G48120/AT4G34020/AT3G57180/AT4G34090/AT3G27750/AT1G24490/AT1G64500/AT3G56940/AT5G17790/AT1G30610/AT1G06950/AT1G09340/AT5G63420/AT1G62750/AT1G69200/AT5G14100/AT2G25870/AT1G79600/AT5G64050/AT1G11750/AT3G48870/AT3G56290/AT3G04340/AT1G66840/AT3G63140/AT4G33650/AT5G45390/AT2G46820/AT5G24314/AT2G26840/AT1G15510/AT3G54710/AT4G01150/AT2G31270/AT1G12410/AT2G31530/AT5G55580/AT2G31040/AT1G20830/AT2G43090/AT3G19180/AT5G19620/AT5G51020",98
"GO:0022613","ribonucleoprotein complex biogenesis","125/1459","394/16941",0.317258883248731,3.68381270809921,16.5467040705224,4.06722270961708e-40,1.81703174552143e-37,1.5348414119976e-37,"AT5G66470/AT1G80770/AT2G37220/AT4G14510/AT1G12800/AT5G26742/AT1G07840/AT3G12930/AT5G46420/AT1G60230/AT2G33800/AT4G24770/AT1G07070/AT3G52150/AT4G34730/AT5G18570/AT1G52980/AT3G53890/AT1G18080/AT2G31890/AT5G25080/AT5G57280/AT1G45230/AT5G46580/AT1G60000/AT3G09200/AT2G09990/AT1G06190/AT1G01080/AT1G54385/AT5G62440/AT5G20290/AT3G02560/AT3G11940/AT2G39670/AT3G17170/AT1G48630/AT2G37270/AT2G01250/AT1G04270/AT2G04270/AT1G50000/AT3G25520/AT2G48120/AT5G50250/AT3G02080/AT3G28460/AT3G62870/AT1G10490/AT3G52380/AT5G27990/AT1G15930/AT3G57180/AT5G16130/AT3G61110/AT5G15200/AT5G26180/AT1G72370/AT5G13650/AT1G48830/AT2G44120/AT3G11510/AT2G17240/AT3G04770/AT5G55190/AT5G67510/AT2G32060/AT1G09340/AT2G36160/AT5G27700/AT5G61170/AT1G41880/AT3G28900/AT4G32720/AT2G25870/AT3G49910/AT3G24506/AT3G57940/AT3G11964/AT5G47930/AT5G65900/AT1G01860/AT1G55140/AT1G50920/AT2G20450/AT3G63140/AT3G11250/AT3G06530/AT3G19810/AT5G67240/AT3G53460/AT4G21770/AT5G39740/AT5G61770/AT1G70200/AT5G02610/AT3G57000/AT2G47610/AT3G22660/AT3G07590/AT5G09510/AT3G01540/AT1G04170/AT5G06360/AT2G39140/AT2G19870/AT3G15080/AT5G10910/AT3G09500/AT4G25630/AT4G28200/AT1G69620/AT1G26880/AT3G23700/AT5G54910/AT5G18380/AT1G17690/AT5G17930/AT1G31970/AT5G41190/AT1G23280/AT4G25550/AT4G01560/AT2G48100/AT1G80750",125
"GO:0006364","rRNA processing","84/1459","231/16941",0.363636363636364,4.22231914761044,15.1376038066674,4.93126029987021e-32,1.76243243117361e-29,1.48872153052924e-29,"AT5G66470/AT2G37220/AT4G14510/AT1G12800/AT1G07840/AT5G46420/AT1G60230/AT2G33800/AT4G24770/AT3G52150/AT5G18570/AT3G53890/AT2G31890/AT5G25080/AT5G57280/AT1G45230/AT5G46580/AT1G60000/AT2G09990/AT1G06190/AT1G01080/AT5G62440/AT5G20290/AT3G02560/AT2G39670/AT3G17170/AT2G01250/AT2G04270/AT1G50000/AT5G50250/AT3G28460/AT3G62870/AT1G10490/AT3G52380/AT5G27990/AT3G57180/AT5G16130/AT5G26180/AT5G13650/AT1G48830/AT2G44120/AT2G17240/AT1G09340/AT5G27700/AT4G32720/AT2G25870/AT3G24506/AT3G57940/AT3G11964/AT5G65900/AT1G01860/AT1G55140/AT3G63140/AT3G06530/AT3G19810/AT5G67240/AT3G53460/AT4G21770/AT5G61770/AT1G70200/AT5G02610/AT3G57000/AT2G47610/AT3G22660/AT3G01540/AT5G06360/AT2G39140/AT2G19870/AT3G15080/AT5G10910/AT3G09500/AT4G25630/AT4G28200/AT3G23700/AT5G54910/AT5G18380/AT1G17690/AT1G31970/AT5G41190/AT1G23280/AT4G25550/AT4G01560/AT2G48100/AT1G80750",84
"GO:0016072","rRNA metabolic process","85/1459","251/16941",0.338645418326693,3.9321398436412,14.3669370615706,8.28960780928013e-30,2.46892152586393e-27,2.08549080675574e-27,"AT5G66470/AT2G37220/AT4G14510/AT1G12800/AT1G07840/AT5G46420/AT1G60230/AT2G33800/AT4G24770/AT3G52150/AT5G18570/AT3G53890/AT2G31890/AT5G25080/AT5G57280/AT1G45230/AT5G46580/AT4G02990/AT1G60000/AT2G09990/AT1G06190/AT1G01080/AT5G62440/AT5G20290/AT3G02560/AT2G39670/AT3G17170/AT2G01250/AT2G04270/AT1G50000/AT5G50250/AT3G28460/AT3G62870/AT1G10490/AT3G52380/AT5G27990/AT3G57180/AT5G16130/AT5G26180/AT5G13650/AT1G48830/AT2G44120/AT2G17240/AT1G09340/AT5G27700/AT4G32720/AT2G25870/AT3G24506/AT3G57940/AT3G11964/AT5G65900/AT1G01860/AT1G55140/AT3G63140/AT3G06530/AT3G19810/AT5G67240/AT3G53460/AT4G21770/AT5G61770/AT1G70200/AT5G02610/AT3G57000/AT2G47610/AT3G22660/AT3G01540/AT5G06360/AT2G39140/AT2G19870/AT3G15080/AT5G10910/AT3G09500/AT4G25630/AT4G28200/AT3G23700/AT5G54910/AT5G18380/AT1G17690/AT1G31970/AT5G41190/AT1G23280/AT4G25550/AT4G01560/AT2G48100/AT1G80750",85
"GO:0015979","photosynthesis","71/1459","222/16941",0.31981981981982,3.713548709779,12.4933750469172,2.10462103396226e-23,5.37279683955794e-21,4.53838580857426e-21,"AT4G27600/AT1G64770/AT1G54500/AT4G30720/AT3G05410/AT5G35220/AT3G14395/AT3G04790/AT3G58830/AT2G47940/AT3G01500/AT1G60600/AT2G20890/AT1G68890/AT4G02530/AT5G52520/AT5G61410/AT1G22700/AT2G21170/AT1G55480/AT1G73060/AT2G01918/AT5G27390/AT1G64150/AT5G44650/AT3G18680/AT4G35250/AT4G33520/AT4G30950/AT1G67090/AT1G71500/AT1G12900/AT1G19150/AT3G17170/AT3G16250/AT5G38410/AT1G42970/AT3G55250/AT3G54050/AT3G21200/AT3G01440/AT3G03630/AT5G66190/AT4G15510/AT1G02910/AT3G12780/AT1G03600/AT1G56190/AT4G33470/AT4G18370/AT1G11750/AT3G55800/AT1G76450/AT2G05620/AT2G46820/AT3G60750/AT4G09650/AT3G61320/AT2G31040/AT1G77090/AT1G15980/AT4G03280/AT5G02120/AT3G50820/AT2G18790/AT4G22890/AT5G15802/AT4G01037/AT1G60950/AT3G26650/AT5G01920",71
"GO:1901259","chloroplast rRNA processing","21/1459","24/16941",0.875,10.1599554489376,13.7850429949826,5.97058024129256e-20,1.33367836139872e-17,1.12655421921231e-17,"AT2G37220/AT1G12800/AT2G33800/AT4G24770/AT3G52150/AT2G31890/AT1G45230/AT5G46580/AT1G60000/AT1G06190/AT1G01080/AT5G62440/AT2G04270/AT5G50250/AT3G28460/AT3G52380/AT3G57180/AT2G17240/AT2G25870/AT3G24506/AT3G53460",21
"GO:0002181","cytoplasmic translation","36/1459","80/16941",0.45,5.22511994516792,11.6282186436702,5.22945888897433e-18,1.03833811495524e-15,8.77081175063063e-16,"AT1G07070/AT4G36130/AT3G09200/AT3G44590/AT1G74050/AT1G01100/AT1G67430/AT5G56710/AT1G27400/AT2G18020/AT1G72370/AT2G36620/AT3G04770/AT5G67510/AT3G53740/AT4G00810/AT2G27720/AT1G41880/AT3G49910/AT4G17390/AT3G11250/AT3G06680/AT2G20280/AT5G47700/AT3G05560/AT3G53020/AT2G46280/AT5G02450/AT5G20220/AT2G37600/AT1G04170/AT4G16720/AT1G18540/AT2G27710/AT3G06700/AT1G17470",36
"GO:0072598","protein localization to chloroplast","28/1459","61/16941",0.459016393442623,5.32981269452466,10.399647599991,1.38723727363218e-14,2.47899300798071e-12,2.09399815830374e-12,"AT3G16290/AT5G52440/AT1G04940/AT5G22640/AT2G20890/AT5G49910/AT4G15810/AT3G46740/AT5G64580/AT5G01590/AT1G79560/AT4G23940/AT1G02280/AT5G03940/AT5G23040/AT4G26670/AT2G04030/AT4G24280/AT3G49560/AT1G24490/AT1G06950/AT4G02510/AT3G48870/AT3G04340/AT2G15290/AT2G31530/AT5G66055/AT2G47450",28
