"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036293","response to decreased oxygen levels","80/1240","270/16941",0.296296296296296,4.04802867383513,14.1880919163331,1.81501539328619e-28,1.57290604824148e-25,1.31958041790197e-25,"AT1G53910/AT2G36220/AT4G19520/AT1G25560/AT2G25735/AT1G74940/AT3G25250/AT3G04640/AT4G30280/AT5G59820/AT5G57510/AT5G35735/AT3G08720/AT1G19020/AT4G13395/AT1G13260/AT1G76680/AT3G52800/AT5G06320/AT5G27420/AT1G15010/AT2G43430/AT5G20230/AT1G76650/AT3G46080/AT4G24160/AT5G45340/AT5G64260/AT5G42380/AT3G49780/AT1G69890/AT5G62520/AT5G42050/AT4G17230/AT3G01090/AT2G41430/AT5G25250/AT3G30775/AT5G19230/AT5G41080/AT1G78850/AT3G14230/AT5G26920/AT1G23710/AT2G26560/AT4G20860/AT1G73500/AT1G27730/AT4G01360/AT4G34131/AT5G05410/AT1G68840/AT2G46500/AT5G45630/AT1G57630/AT1G76600/AT1G73010/AT2G40000/AT1G72360/AT4G19880/AT4G24110/AT5G57560/AT3G28910/AT5G13190/AT4G12720/AT2G32210/AT1G66090/AT2G32200/AT2G22500/AT3G20770/AT1G30720/AT5G54940/AT1G32928/AT5G04340/AT1G07135/AT2G13790/AT1G35140/AT5G54960/AT5G19120/AT1G66180",80
"GO:0070482","response to oxygen levels","80/1240","271/16941",0.29520295202952,4.03309129865492,14.1451063629869,2.39873822903848e-28,1.57290604824148e-25,1.31958041790197e-25,"AT1G53910/AT2G36220/AT4G19520/AT1G25560/AT2G25735/AT1G74940/AT3G25250/AT3G04640/AT4G30280/AT5G59820/AT5G57510/AT5G35735/AT3G08720/AT1G19020/AT4G13395/AT1G13260/AT1G76680/AT3G52800/AT5G06320/AT5G27420/AT1G15010/AT2G43430/AT5G20230/AT1G76650/AT3G46080/AT4G24160/AT5G45340/AT5G64260/AT5G42380/AT3G49780/AT1G69890/AT5G62520/AT5G42050/AT4G17230/AT3G01090/AT2G41430/AT5G25250/AT3G30775/AT5G19230/AT5G41080/AT1G78850/AT3G14230/AT5G26920/AT1G23710/AT2G26560/AT4G20860/AT1G73500/AT1G27730/AT4G01360/AT4G34131/AT5G05410/AT1G68840/AT2G46500/AT5G45630/AT1G57630/AT1G76600/AT1G73010/AT2G40000/AT1G72360/AT4G19880/AT4G24110/AT5G57560/AT3G28910/AT5G13190/AT4G12720/AT2G32210/AT1G66090/AT2G32200/AT2G22500/AT3G20770/AT1G30720/AT5G54940/AT1G32928/AT5G04340/AT1G07135/AT2G13790/AT1G35140/AT5G54960/AT5G19120/AT1G66180",80
"GO:0001666","response to hypoxia","79/1240","266/16941",0.296992481203008,4.05754001940335,14.1248529737069,3.36129352400981e-28,1.57290604824148e-25,1.31958041790197e-25,"AT1G53910/AT2G36220/AT4G19520/AT1G25560/AT2G25735/AT1G74940/AT3G25250/AT3G04640/AT4G30280/AT5G59820/AT5G57510/AT5G35735/AT3G08720/AT1G19020/AT4G13395/AT1G13260/AT1G76680/AT3G52800/AT5G06320/AT5G27420/AT1G15010/AT5G20230/AT1G76650/AT3G46080/AT4G24160/AT5G45340/AT5G64260/AT5G42380/AT3G49780/AT1G69890/AT5G62520/AT5G42050/AT4G17230/AT3G01090/AT2G41430/AT5G25250/AT3G30775/AT5G19230/AT5G41080/AT1G78850/AT3G14230/AT5G26920/AT1G23710/AT2G26560/AT4G20860/AT1G73500/AT1G27730/AT4G01360/AT4G34131/AT5G05410/AT1G68840/AT2G46500/AT5G45630/AT1G57630/AT1G76600/AT1G73010/AT2G40000/AT1G72360/AT4G19880/AT4G24110/AT5G57560/AT3G28910/AT5G13190/AT4G12720/AT2G32210/AT1G66090/AT2G32200/AT2G22500/AT3G20770/AT1G30720/AT5G54940/AT1G32928/AT5G04340/AT1G07135/AT2G13790/AT1G35140/AT5G54960/AT5G19120/AT1G66180",79
"GO:0071456","cellular response to hypoxia","74/1240","236/16941",0.313559322033898,4.28387780207764,14.2765620845401,3.7787532690486e-28,1.57290604824148e-25,1.31958041790197e-25,"AT2G36220/AT4G19520/AT1G25560/AT2G25735/AT1G74940/AT3G25250/AT3G04640/AT4G30280/AT5G59820/AT5G57510/AT5G35735/AT3G08720/AT1G19020/AT4G13395/AT1G13260/AT1G76680/AT3G52800/AT5G06320/AT5G27420/AT1G15010/AT5G20230/AT1G76650/AT3G46080/AT4G24160/AT5G45340/AT5G64260/AT5G42380/AT3G49780/AT1G69890/AT5G62520/AT5G42050/AT4G17230/AT2G41430/AT5G25250/AT3G30775/AT5G19230/AT5G41080/AT1G78850/AT5G26920/AT1G23710/AT2G26560/AT4G20860/AT1G73500/AT1G27730/AT4G01360/AT4G34131/AT5G05410/AT1G68840/AT2G46500/AT5G45630/AT1G57630/AT1G76600/AT1G73010/AT2G40000/AT1G72360/AT4G19880/AT4G24110/AT5G57560/AT5G13190/AT4G12720/AT2G32210/AT1G66090/AT2G32200/AT2G22500/AT1G30720/AT5G54940/AT1G32928/AT5G04340/AT1G07135/AT2G13790/AT1G35140/AT5G54960/AT5G19120/AT1G66180",74
"GO:0036294","cellular response to decreased oxygen levels","74/1240","238/16941",0.310924369747899,4.24787882895094,14.1806110449298,6.91567283855858e-28,1.91909921270001e-25,1.6100171678539e-25,"AT2G36220/AT4G19520/AT1G25560/AT2G25735/AT1G74940/AT3G25250/AT3G04640/AT4G30280/AT5G59820/AT5G57510/AT5G35735/AT3G08720/AT1G19020/AT4G13395/AT1G13260/AT1G76680/AT3G52800/AT5G06320/AT5G27420/AT1G15010/AT5G20230/AT1G76650/AT3G46080/AT4G24160/AT5G45340/AT5G64260/AT5G42380/AT3G49780/AT1G69890/AT5G62520/AT5G42050/AT4G17230/AT2G41430/AT5G25250/AT3G30775/AT5G19230/AT5G41080/AT1G78850/AT5G26920/AT1G23710/AT2G26560/AT4G20860/AT1G73500/AT1G27730/AT4G01360/AT4G34131/AT5G05410/AT1G68840/AT2G46500/AT5G45630/AT1G57630/AT1G76600/AT1G73010/AT2G40000/AT1G72360/AT4G19880/AT4G24110/AT5G57560/AT5G13190/AT4G12720/AT2G32210/AT1G66090/AT2G32200/AT2G22500/AT1G30720/AT5G54940/AT1G32928/AT5G04340/AT1G07135/AT2G13790/AT1G35140/AT5G54960/AT5G19120/AT1G66180",74
"GO:0071453","cellular response to oxygen levels","74/1240","238/16941",0.310924369747899,4.24787882895094,14.1806110449298,6.91567283855858e-28,1.91909921270001e-25,1.6100171678539e-25,"AT2G36220/AT4G19520/AT1G25560/AT2G25735/AT1G74940/AT3G25250/AT3G04640/AT4G30280/AT5G59820/AT5G57510/AT5G35735/AT3G08720/AT1G19020/AT4G13395/AT1G13260/AT1G76680/AT3G52800/AT5G06320/AT5G27420/AT1G15010/AT5G20230/AT1G76650/AT3G46080/AT4G24160/AT5G45340/AT5G64260/AT5G42380/AT3G49780/AT1G69890/AT5G62520/AT5G42050/AT4G17230/AT2G41430/AT5G25250/AT3G30775/AT5G19230/AT5G41080/AT1G78850/AT5G26920/AT1G23710/AT2G26560/AT4G20860/AT1G73500/AT1G27730/AT4G01360/AT4G34131/AT5G05410/AT1G68840/AT2G46500/AT5G45630/AT1G57630/AT1G76600/AT1G73010/AT2G40000/AT1G72360/AT4G19880/AT4G24110/AT5G57560/AT5G13190/AT4G12720/AT2G32210/AT1G66090/AT2G32200/AT2G22500/AT1G30720/AT5G54940/AT1G32928/AT5G04340/AT1G07135/AT2G13790/AT1G35140/AT5G54960/AT5G19120/AT1G66180",74
"GO:0031347","regulation of defense response","73/1240","329/16941",0.221884498480243,3.03140749093048,10.4565381463916,4.79789123091345e-18,1.14121269992441e-15,9.57413783973255e-16,"AT1G53440/AT4G25230/AT3G52400/AT1G30135/AT5G11410/AT5G46330/AT5G14930/AT1G60490/AT2G22300/AT3G07780/AT1G14370/AT2G02220/AT3G59700/AT4G02195/AT1G51800/AT4G39830/AT1G13960/AT1G53570/AT3G12620/AT2G28550/AT5G45110/AT1G61380/AT5G05190/AT3G02150/AT5G20480/AT5G25440/AT1G61370/AT5G48380/AT5G47220/AT3G61190/AT1G59870/AT3G53160/AT5G26920/AT1G29720/AT4G11890/AT1G19180/AT5G20900/AT1G72450/AT5G24090/AT1G17980/AT3G62590/AT4G31800/AT3G09830/AT2G34600/AT3G22600/AT5G66130/AT2G29460/AT5G05300/AT4G17680/AT1G48500/AT4G39030/AT5G13190/AT1G02660/AT4G12720/AT5G05600/AT2G39660/AT3G55150/AT3G43440/AT3G27960/AT1G56140/AT3G28450/AT1G80840/AT1G64460/AT5G62570/AT1G74950/AT3G55560/AT4G08920/AT5G66210/AT5G13220/AT5G65600/AT3G21650/AT5G39610/AT2G38240",73
"GO:0042742","defense response to bacterium","83/1240","422/16941",0.196682464454976,2.68709486317077,9.86297065012145,5.5884164861541e-17,1.16308918118082e-14,9.75766931200854e-15,"AT1G22890/AT1G77920/AT1G22070/AT5G49520/AT2G19190/AT3G05200/AT1G02860/AT1G01230/AT4G28350/AT5G11410/AT5G46330/AT5G14930/AT1G60490/AT2G44490/AT5G06320/AT2G22300/AT5G27420/AT1G32230/AT1G14370/AT3G59700/AT1G68765/AT4G23200/AT1G51800/AT1G59820/AT2G23810/AT5G22250/AT2G17520/AT2G32800/AT4G28460/AT1G13960/AT1G53570/AT4G39090/AT3G12620/AT5G45110/AT4G33430/AT3G30775/AT5G25440/AT3G10930/AT5G48380/AT5G47220/AT1G59870/AT3G50260/AT5G26920/AT2G42010/AT2G05940/AT4G33220/AT1G19180/AT4G25030/AT3G11340/AT4G31800/AT5G46350/AT3G09830/AT2G40000/AT5G18525/AT4G12470/AT5G05300/AT4G23190/AT3G19190/AT4G39030/AT4G29050/AT4G04960/AT4G12720/AT2G39660/AT3G55150/AT5G01900/AT5G58430/AT3G14310/AT1G16540/AT3G28940/AT3G28450/AT3G20770/AT1G80840/AT3G44260/AT5G62570/AT5G42000/AT4G08920/AT1G70690/AT5G66210/AT1G22885/AT5G01550/AT5G65600/AT1G69370/AT4G33950",83
"GO:0001101","response to acid chemical","90/1240","484/16941",0.18595041322314,2.54047254065582,9.66284907573178,1.04759084572989e-16,1.8900981189887e-14,1.58568686827755e-14,"AT1G22890/AT1G76180/AT5G58670/AT2G30870/AT5G15970/AT1G04400/AT2G26650/AT1G18390/AT5G12420/AT3G16800/AT3G26090/AT3G02840/AT1G19020/AT1G20450/AT2G35930/AT3G55270/AT2G21620/AT1G20440/AT3G53600/AT3G04110/AT1G32230/AT2G43430/AT5G24030/AT1G43160/AT5G26340/AT5G45340/AT5G42380/AT3G15500/AT3G46620/AT4G39090/AT1G08920/AT5G50430/AT1G29395/AT1G69270/AT4G05590/AT2G41430/AT2G40880/AT3G30775/AT1G20840/AT1G59870/AT2G29120/AT5G08520/AT5G26920/AT1G01480/AT1G27730/AT1G52890/AT4G11890/AT3G10500/AT5G27930/AT5G05410/AT3G46930/AT4G18710/AT4G37790/AT5G24090/AT3G62770/AT5G52310/AT1G30270/AT1G12110/AT3G25760/AT5G48400/AT3G49210/AT1G75380/AT1G52690/AT1G07240/AT5G19000/AT4G02380/AT5G48410/AT3G50970/AT2G17840/AT3G23250/AT2G29110/AT3G09940/AT3G52450/AT5G58430/AT1G08930/AT3G13672/AT4G08500/AT2G38340/AT4G08920/AT4G17615/AT1G22885/AT5G58787/AT3G10550/AT5G21010/AT3G02480/AT5G61590/AT4G17870/AT4G33950/AT5G56550/AT3G53400",90
"GO:0006468","protein phosphorylation","84/1240","435/16941",0.193103448275862,2.63819799777531,9.7273375724824,1.13519406545868e-16,1.8900981189887e-14,1.58568686827755e-14,"AT2G17290/AT1G30640/AT2G30360/AT5G44290/AT1G53440/AT2G31800/AT3G04910/AT2G19190/AT4G32300/AT3G25250/AT4G14340/AT4G28350/AT1G51805/AT5G24430/AT5G26751/AT1G07650/AT3G08720/AT1G18890/AT5G38240/AT1G14370/AT3G59700/AT1G76360/AT1G51800/AT5G61570/AT1G05100/AT4G35030/AT2G17520/AT2G32800/AT1G53570/AT1G70530/AT3G51550/AT1G61380/AT1G72710/AT2G30740/AT2G01450/AT5G20480/AT4G35500/AT5G25440/AT1G51820/AT3G59350/AT1G74360/AT2G05940/AT1G73500/AT3G50000/AT3G47570/AT3G46930/AT4G18710/AT2G46500/AT2G19130/AT1G34300/AT1G16130/AT1G66920/AT1G09970/AT5G18525/AT4G00960/AT3G06620/AT4G24400/AT3G07980/AT5G09890/AT1G63500/AT2G37840/AT1G70520/AT2G39660/AT4G19110/AT3G58760/AT5G41990/AT5G04870/AT4G28860/AT4G00970/AT1G56140/AT3G28450/AT4G08500/AT3G20410/AT2G35050/AT4G08920/AT2G31010/AT5G66210/AT1G59580/AT2G43850/AT2G13790/AT1G16670/AT5G65600/AT5G57035/AT4G33950",84
